#scan;iMeasureCycle=1;iMux=0;time=0.141;N=492;LocalTime=21/12/2023 13:04:20;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;4.50E-09;0.301412;0;-1.74E-09;0.301412;;;0;1.74405E-09
10;4.35E-09;0.471852;-0.50001;-9.81E-09;0.471852;;;-0.50001;9.8083E-09
10;4.28E-09;0.641952;-1;-1.68E-08;0.641952;;;-1;1.67865E-08
9.99999;4.35E-09;0.812025;-1.5;-2.28E-08;0.812025;;;-1.5;2.27622E-08
9.99999;4.45E-09;0.999398;-2;-2.78E-08;0.999398;;;-2;2.77626E-08
9.99999;4.60E-09;1.169417;-2.5;-3.19E-08;1.169417;;;-2.5;3.18509E-08
9.99999;4.45E-09;1.37449;-3;-3.51E-08;1.37449;;;-3;3.50641E-08
10;4.63E-09;1.544711;-3.5;-3.79E-08;1.544711;;;-3.5;3.78827E-08
9.99999;4.62E-09;1.714773;-4;-4.01E-08;1.714773;;;-4;4.00532E-08
10;4.44E-09;1.90909;-4.5;-4.18E-08;1.90909;;;-4.5;4.18169E-08
9.99999;4.39E-09;2.079146;-5;-4.33E-08;2.079146;;;-5;4.32824E-08
9.99999;4.29E-09;2.249183;-5.5;-4.45E-08;2.249183;;;-5.5;4.45294E-08
10;4.19E-09;2.419201;-6;-4.56E-08;2.419201;;;-6;4.55762E-08
9.99999;4.09E-09;2.589262;-6.5;-4.65E-08;2.589262;;;-6.5;4.64994E-08
9.99999;4.00E-09;2.759262;-7;-4.73E-08;2.759262;;;-7;4.73207E-08
10;3.92E-09;2.929371;-7.5;-4.81E-08;2.929371;;;-7.5;4.80794E-08
9.99999;3.88E-09;3.099527;-8;-4.88E-08;3.099527;;;-8;4.87592E-08
9.99999;3.83E-09;3.269522;-8.49999;-4.94E-08;3.269522;;;-8.49999;4.939E-08
10;3.77E-09;3.439586;-9;-5.00E-08;3.439586;;;-9;5.00116E-08
9.99999;3.73E-09;3.609761;-9.5;-5.06E-08;3.609761;;;-9.5;5.05524E-08
9.99999;3.70E-09;3.779847;-10;-5.11E-08;3.779847;;;-10;5.10551E-08
9.99999;3.68E-09;3.951158;-10.5;-5.16E-08;3.951158;;;-10.5;5.15963E-08
9.99999;3.65E-09;4.12122;-11;-5.21E-08;4.12122;;;-11;5.20707E-08
10;3.62E-09;4.291288;-11.5;-5.26E-08;4.291288;;;-11.5;5.25591E-08
9.99999;3.60E-09;4.461425;-12;-5.30E-08;4.461425;;;-12;5.29884E-08
9.99999;3.59E-09;4.631625;-12.5;-5.34E-08;4.631625;;;-12.5;5.34153E-08
10;3.57E-09;4.801688;-13;-5.39E-08;4.801688;;;-13;5.38506E-08
9.99999;3.53E-09;4.973715;-13.5;-5.43E-08;4.973715;;;-13.5;5.43086E-08
10;3.51E-09;5.143831;-14;-5.47E-08;5.143831;;;-14;5.47077E-08
9.99999;3.52E-09;5.313825;-14.49999;-5.51E-08;5.313825;;;-14.49999;5.50964E-08
10;3.47E-09;5.485631;-15;-5.55E-08;5.485631;;;-15;5.54953E-08
9.99999;3.49E-09;5.655842;-15.5;-5.59E-08;5.655842;;;-15.5;5.58868E-08
10;3.47E-09;5.825985;-16;-5.63E-08;5.825985;;;-16;5.62792E-08
10;3.47E-09;6.012667;-16.5;-5.66E-08;6.012667;;;-16.5;5.65956E-08
10;3.45E-09;6.182711;-17;-5.70E-08;6.182711;;;-17;5.69668E-08
10;3.44E-09;6.38792;-17.50001;-5.75E-08;6.38792;;;-17.50001;5.74605E-08
9.99999;3.43E-09;6.557963;-18;-5.78E-08;6.557963;;;-18;5.77751E-08
9.99999;3.41E-09;6.727984;-18.5;-5.81E-08;6.727984;;;-18.5;5.80885E-08
10;3.39E-09;6.92698;-19;-5.85E-08;6.92698;;;-19;5.84794E-08
9.99999;3.40E-09;7.097091;-19.5;-5.88E-08;7.097091;;;-19.5;5.88069E-08
9.99999;3.38E-09;7.26718;-20;-5.91E-08;7.26718;;;-20;5.91086E-08
9.99999;3.38E-09;7.389514;-20;-5.93E-08;7.389514;;;-20;5.93231E-08
10;3.36E-09;7.539334;-19.50001;-5.95E-08;7.539334;;;-19.50001;5.95387E-08
10;3.34E-09;7.689153;-19.00001;-5.97E-08;7.689153;;;-19.00001;5.97068E-08
10;3.34E-09;7.83904;-18.50001;-5.99E-08;7.83904;;;-18.50001;5.98634E-08
9.99999;3.33E-09;7.997566;-18.00001;-6.01E-08;7.997566;;;-18.00001;6.00709E-08
9.99999;3.32E-09;8.147319;-17.50001;-6.03E-08;8.147319;;;-17.50001;6.02835E-08
9.99999;3.30E-09;8.297164;-17.00001;-6.04E-08;8.297164;;;-17.00001;6.04191E-08
10;3.29E-09;8.446978;-16.50001;-6.06E-08;8.446978;;;-16.50001;6.05761E-08
10;3.28E-09;8.597641;-16.00001;-6.08E-08;8.597641;;;-16.00001;6.0782E-08
9.99999;3.28E-09;8.747599;-15.50001;-6.09E-08;8.747599;;;-15.50001;6.09139E-08
9.99999;3.29E-09;8.907399;-15.00001;-6.11E-08;8.907399;;;-15.00001;6.11092E-08
10;3.28E-09;9.057282;-14.50001;-6.13E-08;9.057282;;;-14.50001;6.12643E-08
9.99999;3.26E-09;9.207122;-14.00001;-6.14E-08;9.207122;;;-14.00001;6.13974E-08
9.99999;3.25E-09;9.381395;-13.50001;-6.16E-08;9.381395;;;-13.50001;6.15566E-08
10;3.25E-09;9.531202;-13.00001;-6.17E-08;9.531202;;;-13.00001;6.16977E-08
9.99999;3.24E-09;9.681115;-12.50001;-6.19E-08;9.681115;;;-12.50001;6.18704E-08
