#scan;iMeasureCycle=1;iMux=0;time=0.127;N=142;LocalTime=21/12/2023 13:07:26;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;9.43E-09;0.281131;-10;-4.78E-09;0.281131;;;19.99999;4.78E-09;9.43E-09;6.92E-05;;;2.56E-09
19.5;7.16E-09;0.457627;-10.00001;-3.53E-09;0.457627;;;19.5;3.53E-09;7.16E-09;5.94E-05;;;
18.99999;6.06E-09;0.633644;-10.00001;-2.93E-09;0.633644;;;18.99999;2.93E-09;6.06E-09;5.41E-05;;;IDS_max
18.49999;5.36E-09;0.828424;-10;-2.56E-09;0.828424;;;18.49999;2.56E-09;5.36E-09;5.06E-05;;;6.20E-05
17.99999;4.95E-09;1.004479;-10;-2.34E-09;1.004479;;;17.99999;2.34E-09;4.95E-09;4.84E-05;;;
17.49999;4.65E-09;1.180488;-10;-2.19E-09;1.180488;;;17.49999;2.19E-09;4.65E-09;4.68E-05;;;ON/OFF
16.99999;4.40E-09;1.39409;-10.00001;-2.07E-09;1.39409;;;16.99999;2.07E-09;4.40E-09;4.55E-05;;;2.43E+04
16.5;4.18E-09;1.570218;-10.00001;-1.99E-09;1.570218;;;16.5;1.99E-09;4.18E-09;4.46E-05;;;
16;3.98E-09;1.746342;-10;-1.94E-09;1.746342;;;16;1.94E-09;3.98E-09;4.40E-05;;;
15.5;3.69E-09;1.922397;-10;-1.90E-09;1.922397;;;15.5;1.90E-09;3.69E-09;4.35E-05;;;
14.99999;3.19E-09;2.098549;-10;-1.88E-09;2.098549;;;14.99999;1.88E-09;3.19E-09;4.34E-05;;;
14.49999;2.39E-09;2.27459;-10;-1.90E-09;2.27459;;;14.49999;1.90E-09;2.39E-09;4.36E-05;;;
14;1.60E-09;2.450935;-10;-2.15E-09;2.450935;;;14;2.15E-09;1.60E-09;4.64E-05;;;
13.5;1.84E-09;2.626934;-9.99999;-3.69E-09;2.626934;;;13.5;3.69E-09;1.84E-09;6.07E-05;;;
12.99999;2.59E-09;2.802978;-10;-6.68E-09;2.802978;;;12.99999;6.68E-09;2.59E-09;8.17E-05;;;
12.5;3.05E-09;2.983788;-10;-1.10E-08;2.983788;;;12.5;1.10E-08;3.05E-09;0.000104936;;;
11.99999;3.07E-09;3.133568;-10;-1.72E-08;3.133568;;;11.99999;1.72E-08;3.07E-09;0.000131191;;;
11.5;3.10E-09;3.283327;-10;-2.62E-08;3.283327;;;11.5;2.62E-08;3.10E-09;0.000161907;;;
11;3.12E-09;3.435118;-10;-3.90E-08;3.435118;;;11;3.90E-08;3.12E-09;0.000197482;;;
10.5;3.09E-09;3.584962;-10;-5.67E-08;3.584962;;;10.5;5.67E-08;3.09E-09;0.000238102;;;
9.99999;3.06E-09;3.734742;-10;-8.12E-08;3.734742;;;9.99999;8.12E-08;3.06E-09;0.000284922;;;
9.49999;3.00E-09;3.890437;-10;-1.16E-07;3.890437;;;9.49999;1.16E-07;3.00E-09;0.000340054;;;
8.99999;2.94E-09;4.040294;-10;-1.67E-07;4.040294;;;8.99999;1.67E-07;2.94E-09;0.000408091;;;
8.49999;2.86E-09;4.190083;-10;-2.43E-07;4.190083;;;8.49999;2.43E-07;2.86E-09;0.000492516;;;
7.99999;2.86E-09;4.375419;-10;-3.53E-07;4.375419;;;7.99999;3.53E-07;2.86E-09;0.000593951;;;
7.49999;2.72E-09;4.525262;-10;-5.15E-07;4.525262;;;7.49999;5.15E-07;2.72E-09;0.000717521;;;
6.99999;2.61E-09;4.675072;-10;-7.49E-07;4.675072;;;6.99999;7.49E-07;2.61E-09;0.000865388;;;
6.49999;2.56E-09;4.852651;-10;-1.08E-06;4.852651;;;6.49999;1.08E-06;2.56E-09;0.001037516;;;
6;2.32E-09;5.002462;-10;-1.53E-06;5.002462;;;6;1.53E-06;2.32E-09;0.001235225;;;
5.49999;2.02E-09;5.152334;-10;-2.11E-06;5.152334;;;5.49999;2.11E-06;2.02E-09;0.001453279;;;
4.99999;1.59E-09;5.302184;-10;-2.86E-06;5.302184;;;4.99999;2.86E-06;1.59E-09;0.001690941;;;
4.5;1.18E-09;5.470691;-10;-3.78E-06;5.470691;;;4.5;3.78E-06;1.18E-09;0.001943291;;;
4;8.79E-10;5.620477;-10;-4.87E-06;5.620477;;;4;4.87E-06;8.79E-10;0.002207798;;;
3.5;1.11E-09;5.770358;-10;-6.14E-06;5.770358;;;3.5;6.14E-06;1.11E-09;0.00247874;;;
3;1.30E-09;5.920212;-10;-7.58E-06;5.920212;;;3;7.58E-06;1.30E-09;0.002752702;;;
2.49999;1.37E-09;6.07062;-10;-9.17E-06;6.07062;;;2.49999;9.17E-06;1.37E-09;0.003027907;;;
2;1.37E-09;6.223793;-10;-1.09E-05;6.223793;;;2;1.09E-05;1.37E-09;0.003302484;;;
1.5;1.23E-09;6.380798;-10;-1.28E-05;6.380798;;;1.5;1.28E-05;1.23E-09;0.00357273;;;
1.00001;1.02E-09;6.530746;-10;-1.47E-05;6.530746;;;1.00001;1.47E-05;1.02E-09;0.003838203;;;
0.49999;8.20E-10;6.68058;-10;-1.68E-05;6.68058;;;0.49999;0.000016796;8.20E-10;0.004098292;;;
0;6.36E-10;6.854863;-10;-1.89E-05;6.854863;;;0;1.89E-05;6.36E-10;0.004350655;;;
-0.50001;3.68E-10;7.004747;-10;-2.11E-05;7.004747;;;-0.50001;0.000021139;3.68E-10;0.004597717;;;
-1.00001;9.02E-11;7.154603;-10;-2.34E-05;7.154603;;;-1.00001;2.34E-05;9.02E-11;0.004834511;;;
-1.5;-2.08E-10;7.304449;-10;-2.56E-05;7.304449;;;-1.5;2.56E-05;2.08E-10;0.005060692;;;
-2;-4.35E-10;7.476527;-10;-2.78E-05;7.476527;;;-2;2.78E-05;4.35E-10;0.005276182;;;
-2.5;-7.09E-10;7.626329;-10;-3.01E-05;7.626329;;;-2.5;3.01E-05;7.09E-10;0.00548363;;;
-3.00001;-1.00E-09;7.776158;-10;-3.23E-05;7.776158;;;-3.00001;3.23E-05;1.00E-09;0.005681681;;;
-3.50001;-1.27E-09;7.926232;-10;-3.45E-05;7.926232;;;-3.50001;3.45E-05;1.27E-09;0.005870588;;;
-4.00001;-1.59E-09;8.076312;-10;-3.66E-05;8.076312;;;-4.00001;3.66E-05;1.59E-09;0.006051925;;;
-4.50001;-1.89E-09;8.226117;-10;-3.87E-05;8.226117;;;-4.50001;0.000038729;1.89E-09;0.006223263;;;
-5;-2.20E-09;8.384976;-10;-4.08E-05;8.384976;;;-5;4.08E-05;2.20E-09;0.006384959;;;
-5.5;-2.52E-09;8.534829;-10;-4.28E-05;8.534829;;;-5.5;4.28E-05;2.52E-09;0.00653844;;;
