#scan;iMeasureCycle=1;iMux=0;time=0.141;N=210;LocalTime=20/12/2023 12:16:03;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;9.26E-10;0.301463;-1.00E-05;-3.42E-10;0.301463;;;-1.00E-05;3.42E-10
5;8.07E-10;0.477988;-0.50001;-3.32E-09;0.477988;;;-0.50001;3.32E-09
4.99999;7.50E-10;0.654106;-1;-5.65E-09;0.654106;;;-1;5.65E-09
4.99999;7.06E-10;0.849657;-1.50001;-7.66E-09;0.849657;;;-1.50001;7.66E-09
4.99999;6.96E-10;1.019738;-2.00001;-9.36E-09;1.019738;;;-2.00001;9.36E-09
4.99999;6.74E-10;1.189818;-2.5;-1.08E-08;1.189818;;;-2.5;1.08E-08
4.99999;6.63E-10;1.382413;-3.00001;-1.21E-08;1.382413;;;-3.00001;1.21E-08
5;6.58E-10;1.552507;-3.5;-1.33E-08;1.552507;;;-3.5;1.33E-08
5;6.47E-10;1.722766;-4;-1.43E-08;1.722766;;;-4;1.43E-08
4.99999;6.43E-10;1.913758;-4.5;-1.52E-08;1.913758;;;-4.5;1.52E-08
5;6.35E-10;2.083981;-5.00001;-1.60E-08;2.083981;;;-5.00001;0.000000016
5;6.37E-10;2.2541;-5.50001;-1.67E-08;2.2541;;;-5.50001;1.67E-08
4.99999;6.28E-10;2.424222;-6;-1.74E-08;2.424222;;;-6;1.74E-08
5;6.30E-10;2.594683;-6.5;-1.79E-08;2.594683;;;-6.5;1.79E-08
4.99999;6.22E-10;2.764807;-7;-1.85E-08;2.764807;;;-7;1.85E-08
5;6.18E-10;2.93494;-7.5;-1.89E-08;2.93494;;;-7.5;1.89E-08
5;6.18E-10;3.105056;-8.00001;-1.94E-08;3.105056;;;-8.00001;1.94E-08
4.99999;6.14E-10;3.275401;-8.5;-1.99E-08;3.275401;;;-8.5;1.99E-08
5;6.12E-10;3.445425;-9;-2.02E-08;3.445425;;;-9;2.02E-08
4.99999;6.08E-10;3.615501;-9.5;-2.07E-08;3.615501;;;-9.5;2.07E-08
4.99999;6.06E-10;3.785563;-10;-2.10E-08;3.785563;;;-10;0.000000021
