#scan;iMeasureCycle=1;iMux=0;time=0.134;N=142;LocalTime=21/12/2023 11:39:02;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
-6.50001;-2.22E-08;9.01202;-0.5;-2.25E-06;9.01202;;;-6.50001;2.2517E-06;2.21933E-08
-7;-2.38E-08;9.155861;-0.5;-2.26E-06;9.155861;;;-7;2.26048E-06;2.38444E-08
-7.5;-2.55E-08;9.29978;-0.5;-2.27E-06;9.29978;;;-7.5;2.26582E-06;2.55076E-08
-8;-2.72E-08;9.443631;-0.5;-2.27E-06;9.443631;;;-8;2.27027E-06;2.71844E-08
-8.5;-2.88E-08;9.587577;-0.5;-2.27E-06;9.587577;;;-8.5;2.27192E-06;2.88435E-08
-9;-3.05E-08;9.73139;-0.5;-2.27E-06;9.73139;;;-9;2.2717E-06;3.05112E-08
-9.5;-3.22E-08;9.892119;-0.5;-2.27E-06;9.892119;;;-9.5;2.2692E-06;3.2161E-08
-10;-3.39E-08;10.035994;-0.5;-2.27E-06;10.035994;;;-10;2.26607E-06;3.39012E-08
-10.5;-3.57E-08;10.179913;-0.5;-2.26E-06;10.179913;;;-10.5;2.26055E-06;3.56905E-08
-11;-3.75E-08;10.323765;-0.5;-2.25E-06;10.323765;;;-11;2.25421E-06;3.74884E-08
-11.5;-3.93E-08;10.486156;-0.5;-2.25E-06;10.486156;;;-11.5;2.24642E-06;3.92794E-08
-12;-4.11E-08;10.630051;-0.5;-2.24E-06;10.630051;;;-12;2.23777E-06;4.11408E-08
-12.5;-4.30E-08;10.773928;-0.5;-2.23E-06;10.773928;;;-12.5;2.22792E-06;4.2996E-08
-13;-4.49E-08;10.918001;-0.5;-2.22E-06;10.918001;;;-13;2.21729E-06;4.48621E-08
-13.5;-4.68E-08;11.06192;-0.5;-2.21E-06;11.06192;;;-13.5;2.20581E-06;4.67805E-08
-14;-4.87E-08;11.206031;-0.5;-2.19E-06;11.206031;;;-14;2.19301E-06;4.87158E-08
-14.5;-5.05E-08;11.374557;-0.5;-2.18E-06;11.374557;;;-14.5;2.17964E-06;5.05158E-08
-15;-5.25E-08;11.518609;-0.5;-2.17E-06;11.518609;;;-15;2.16653E-06;5.24887E-08
-15;-5.20E-08;11.642143;-0.5;-2.17E-06;11.642143;;;-15;2.16503E-06;5.19699E-08
-14.5;-4.89E-08;11.786009;-0.5;-2.18E-06;11.786009;;;-14.5;2.17625E-06;4.89239E-08
-14;-4.61E-08;11.929912;-0.5;-2.19E-06;11.929912;;;-14;2.18695E-06;4.61025E-08
-13.5;-4.34E-08;12.073785;-0.5;-2.20E-06;12.073785;;;-13.5;2.19671E-06;4.34222E-08
-13;-4.08E-08;12.217697;-0.5;-2.21E-06;12.217697;;;-13;2.20554E-06;4.0834E-08
-12.5;-3.84E-08;12.395071;-0.5;-2.21E-06;12.395071;;;-12.5;2.21422E-06;3.83877E-08
-12;-3.60E-08;12.539006;-0.5;-2.22E-06;12.539006;;;-12;2.22083E-06;3.59773E-08
-11.5;-3.36E-08;12.68285;-0.5;-2.23E-06;12.68285;;;-11.5;2.22586E-06;3.36359E-08
-11;-3.13E-08;12.826676;-0.5;-2.23E-06;12.826676;;;-11;2.23042E-06;3.13445E-08
-10.5;-2.92E-08;12.992181;-0.5;-2.23E-06;12.992181;;;-10.5;2.23293E-06;2.91738E-08
-10;-2.70E-08;13.136007;-0.5;-2.23E-06;13.136007;;;-10;2.2347E-06;2.7022E-08
-9.5;-2.49E-08;13.279923;-0.5;-2.23E-06;13.279923;;;-9.5;2.23473E-06;2.49287E-08
-9;-2.29E-08;13.423809;-0.5;-2.23E-06;13.423809;;;-9;2.23277E-06;2.28855E-08
-8.5;-2.09E-08;13.567787;-0.5;-2.23E-06;13.567787;;;-8.5;2.2284E-06;2.08983E-08
-8;-1.89E-08;13.711559;-0.5;-2.22E-06;13.711559;;;-8;2.22313E-06;1.89496E-08
-7.5;-1.71E-08;13.880654;-0.5;-2.21E-06;13.880654;;;-7.5;2.21493E-06;1.7108E-08
-7;-1.52E-08;14.024592;-0.5;-2.20E-06;14.024592;;;-7;2.20386E-06;1.52441E-08
-6.5;-1.35E-08;14.16844;-0.5;-2.19E-06;14.16844;;;-6.5;2.18999E-06;1.34639E-08
-6;-1.17E-08;14.312393;-0.5;-2.17E-06;14.312393;;;-6;2.17284E-06;1.17118E-08
-5.5;-1.00E-08;14.456264;-0.5;-2.15E-06;14.456264;;;-5.5;2.15263E-06;9.9969E-09
-5;-8.36E-09;14.606133;-0.5;-2.13E-06;14.606133;;;-5;2.1286E-06;8.36033E-09
-4.5;-6.76E-09;14.755915;-0.5;-2.10E-06;14.755915;;;-4.5;2.10054E-06;6.76241E-09
-3.99999;-5.24E-09;14.911248;-0.5;-2.07E-06;14.911248;;;-3.99999;2.06794E-06;5.24319E-09
-3.5;-3.76E-09;15.061095;-0.5;-2.03E-06;15.061095;;;-3.5;2.02853E-06;3.75776E-09
-3.00001;-2.34E-09;15.210944;-0.5;-1.98E-06;15.210944;;;-3.00001;1.98221E-06;2.34219E-09
-2.50001;-1.03E-09;15.385941;-0.5;-1.93E-06;15.385941;;;-2.50001;1.92879E-06;1.02933E-09
-2;2.85E-10;15.535918;-0.5;-1.86E-06;15.535918;;;-2;1.86473E-06;2.8538E-10
-1.5;1.51E-09;15.685815;-0.5;-1.79E-06;15.685815;;;-1.5;1.78848E-06;1.50694E-09
-1.00001;2.63E-09;15.835655;-0.5;-1.70E-06;15.835655;;;-1.00001;1.6964E-06;2.62609E-09
-0.5;3.61E-09;16.006724;-0.5;-1.58E-06;16.006724;;;-0.5;1.58152E-06;3.61388E-09
0;4.53E-09;16.156442;-0.5;-1.43E-06;16.156442;;;0;1.43137E-06;4.531E-09
0.5;5.34E-09;16.306266;-0.5;-1.22E-06;16.306266;;;0.5;1.22189E-06;5.3388E-09
0.99999;6.02E-09;16.456321;-0.5;-9.64E-07;16.456321;;;0.99999;0.000000964;6.02443E-09
1.49999;6.62E-09;16.609108;-0.5;-7.29E-07;16.609108;;;1.49999;7.28515E-07;6.6203E-09
2;7.07E-09;16.764824;-0.5;-5.40E-07;16.764824;;;2;5.40346E-07;7.06933E-09
2.5;7.43E-09;16.922143;-0.5;-3.95E-07;16.922143;;;2.5;3.954E-07;7.42859E-09
2.99999;7.76E-09;17.07206;-0.5;-2.85E-07;17.07206;;;2.99999;2.85381E-07;7.75669E-09
3.5;8.10E-09;17.221976;-0.5;-2.02E-07;17.221976;;;3.5;2.01845E-07;8.09844E-09
4;8.18E-09;17.401345;-0.5;-1.40E-07;17.401345;;;4;1.40136E-07;8.18354E-09
4.49999;8.95E-09;17.545326;-0.5;-9.63E-08;17.545326;;;4.49999;9.6264E-08;8.949E-09
4.99999;9.03E-09;17.706512;-0.500001;-6.57E-08;17.706512;;;4.99999;6.56712E-08;9.034E-09
5.50001;8.82E-09;17.907807;-0.500001;-4.43E-08;17.907807;;;5.50001;4.43305E-08;8.8239E-09
5.99999;9.63E-09;18.071945;-0.500001;-3.00E-08;18.071945;;;5.99999;2.99666E-08;9.6326E-09
6.49999;1.00E-08;18.236096;-0.500001;-2.05E-08;18.236096;;;6.49999;2.05105E-08;1.0004E-08
7;1.00E-08;18.412959;-0.500002;-1.46E-08;18.412959;;;7;1.45515E-08;9.9979E-09
7.49999;1.06E-08;18.556917;-0.500002;-1.13E-08;18.556917;;;7.49999;1.13157E-08;1.05981E-08
7.99999;1.06E-08;18.700718;-0.500002;-9.41E-09;18.700718;;;7.99999;9.409E-09;1.06469E-08
8.50001;9.98E-09;18.883643;-0.500001;-8.05E-09;18.883643;;;8.50001;8.05161E-09;9.9786E-09
8.99999;9.73E-09;19.05387;-0.5;-7.47E-09;19.05387;;;8.99999;7.46849E-09;9.7313E-09
9.49999;9.44E-09;19.224034;-0.500001;-7.10E-09;19.224034;;;9.49999;7.09822E-09;9.4443E-09
9.99999;9.12E-09;19.399656;-0.5;-6.82E-09;19.399656;;;9.99999;6.82342E-09;9.1209E-09
10.49999;8.97E-09;19.549518;-0.5;-6.70E-09;19.549518;;;10.49999;6.70178E-09;8.9692E-09
10.99999;8.74E-09;19.69932;-0.5;-6.55E-09;19.69932;;;10.99999;6.5488E-09;8.737E-09
11.49999;8.38E-09;19.886349;-0.5;-6.33E-09;19.886349;;;11.49999;6.32941E-09;8.37874E-09
12;8.15E-09;20.062395;-0.500001;-6.19E-09;20.062395;;;12;6.18728E-09;8.1489E-09
12.49999;7.94E-09;20.238469;-0.5;-6.06E-09;20.238469;;;12.49999;6.05708E-09;7.94215E-09
12.99999;7.69E-09;20.448255;-0.5;-5.90E-09;20.448255;;;12.99999;5.90125E-09;7.68564E-09
13.5;7.55E-09;20.624313;-0.500001;-5.81E-09;20.624313;;;13.5;5.81408E-09;7.54846E-09
13.99999;7.42E-09;20.800376;-0.5;-5.73E-09;20.800376;;;13.99999;5.73138E-09;7.41876E-09
14.49999;7.28E-09;20.97652;-0.500001;-5.64E-09;20.97652;;;14.49999;5.64475E-09;7.28234E-09
14.99999;7.17E-09;21.152646;-0.500001;-5.57E-09;21.152646;;;14.99999;5.56956E-09;7.16506E-09
15.49999;7.06E-09;21.328696;-0.500001;-5.50E-09;21.328696;;;15.49999;5.49749E-09;7.05562E-09
16;6.96E-09;21.505699;-0.5;-5.44E-09;21.505699;;;16;5.4355E-09;6.95967E-09
16.5;6.86E-09;21.681848;-0.499999;-5.37E-09;21.681848;;;16.5;5.37071E-09;6.85826E-09
16.99999;6.77E-09;21.857822;-0.5;-5.32E-09;21.857822;;;16.99999;5.31716E-09;6.7734E-09
17.5;6.69E-09;22.049227;-0.5;-5.26E-09;22.049227;;;17.5;5.25904E-09;6.68791E-09
18;6.61E-09;22.225318;-0.500001;-5.21E-09;22.225318;;;18;5.20503E-09;6.60953E-09
18.49999;6.52E-09;22.434111;-0.5;-5.14E-09;22.434111;;;18.49999;5.14487E-09;6.5163E-09
19;6.45E-09;22.610348;-0.500001;-5.10E-09;22.610348;;;19;5.10219E-09;6.45209E-09
19.5;6.40E-09;22.786373;-0.500001;-5.06E-09;22.786373;;;19.5;5.06169E-09;6.3975E-09
20;6.33E-09;22.962454;-0.5;-5.02E-09;22.962454;;;20;5.01579E-09;6.32792E-09
