#scan;iMeasureCycle=1;iMux=0;time=0.14;N=142;LocalTime=21/12/2023 11:37:22;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
20;1.30E-08;0.288244;-10;-8.80E-09;0.288244;;;20;8.80E-09;1.30E-08;9.38E-05;;;5.76E-09
19.5;1.07E-08;0.447501;-10;-7.52E-09;0.447501;;;19.5;7.52E-09;1.07E-08;8.67E-05;;;
19;9.55E-09;0.597197;-10.00001;-6.90E-09;0.597197;;;19;6.90E-09;9.55E-09;8.31E-05;;;IDS_max
18.5;8.76E-09;0.773282;-10.00001;-6.47E-09;0.773282;;;18.5;6.47E-09;8.76E-09;8.04E-05;;;5.98E-05
17.99999;8.23E-09;0.951792;-10;-6.17E-09;0.951792;;;17.99999;6.17E-09;8.23E-09;7.85E-05;;;
17.5;7.85E-09;1.127757;-10.00001;-5.95E-09;1.127757;;;17.5;5.95E-09;7.85E-09;7.71E-05;;;ON/OFF
17;7.56E-09;1.303781;-10;-5.77E-09;1.303781;;;17;5.77E-09;7.56E-09;7.60E-05;;;1.04E+04
16.49999;7.31E-09;1.493222;-10;-5.62E-09;1.493222;;;16.49999;5.62E-09;7.31E-09;7.50E-05;;;
16;7.12E-09;1.669316;-10;-5.51E-09;1.669316;;;16;5.51E-09;7.12E-09;7.42E-05;;;
15.5;6.92E-09;1.874114;-10.00001;-5.38E-09;1.874114;;;15.5;5.38E-09;6.92E-09;7.34E-05;;;
15;6.77E-09;2.050382;-10;-5.29E-09;2.050382;;;15;5.29E-09;6.77E-09;7.28E-05;;;
14.49999;6.63E-09;2.22637;-10;-5.21E-09;2.22637;;;14.49999;5.21E-09;6.63E-09;7.22E-05;;;
13.99999;6.50E-09;2.403833;-10;-5.13E-09;2.403833;;;13.99999;5.13E-09;6.50E-09;7.16E-05;;;
