#scan;iMeasureCycle=1;iMux=0;time=0.129;N=202;LocalTime=20/12/2023 14:26:40;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
4.99999;2.23E-09;0.289299;-0.500001;-9.32E-10;0.289299;;;4.99999;9.3171E-10;2.22763E-09
4.89999;1.92E-09;0.465755;-0.5;-7.96E-10;0.465755;;;4.89999;7.9573E-10;1.91982E-09
4.8;1.75E-09;0.64178;-0.500001;-7.28E-10;0.64178;;;4.8;7.2827E-10;1.75361E-09
4.7;1.66E-09;0.837382;-0.5;-6.87E-10;0.837382;;;4.7;6.8672E-10;1.65816E-09
4.59999;1.59E-09;1.013487;-0.5;-6.61E-10;1.013487;;;4.59999;6.6073E-10;1.59113E-09
4.5;1.55E-09;1.189586;-0.5;-6.40E-10;1.189586;;;4.5;6.4015E-10;1.54632E-09
4.4;1.50E-09;1.402666;-0.500001;-6.21E-10;1.402666;;;4.4;6.2065E-10;1.50398E-09
4.29999;1.47E-09;1.578808;-0.5;-6.07E-10;1.578808;;;4.29999;6.0718E-10;1.47052E-09
4.2;1.44E-09;1.754856;-0.5;-5.94E-10;1.754856;;;4.2;5.942E-10;1.44167E-09
4.1;1.41E-09;1.930957;-0.500001;-5.85E-10;1.930957;;;4.1;5.8479E-10;1.40849E-09
4;1.39E-09;2.107225;-0.5;-5.77E-10;2.107225;;;4;5.7672E-10;1.38959E-09
3.9;1.37E-09;2.283223;-0.5;-5.67E-10;2.283223;;;3.9;5.6655E-10;1.37101E-09
3.8;1.35E-09;2.459576;-0.500001;-5.60E-10;2.459576;;;3.8;5.6013E-10;1.35091E-09
3.7;1.33E-09;2.635658;-0.5;-5.51E-10;2.635658;;;3.7;5.5119E-10;1.33452E-09
3.60001;1.31E-09;2.811904;-0.500001;-5.43E-10;2.811904;;;3.60001;5.4301E-10;1.31122E-09
3.49999;1.29E-09;2.998925;-0.500001;-5.38E-10;2.998925;;;3.49999;5.383E-10;1.29237E-09
3.39999;1.27E-09;3.174992;-0.5;-5.31E-10;3.174992;;;3.39999;5.3085E-10;1.27142E-09
3.29999;1.27E-09;3.383675;-0.500001;-5.26E-10;3.383675;;;3.29999;5.2602E-10;1.26611E-09
3.2;1.25E-09;3.559747;-0.5;-5.21E-10;3.559747;;;3.2;5.21E-10;1.24788E-09
3.1;1.23E-09;3.735832;-0.500001;-5.15E-10;3.735832;;;3.1;5.1505E-10;1.23165E-09
3;1.21E-09;3.913213;-0.5;-5.11E-10;3.913213;;;3;5.1117E-10;1.21224E-09
2.89999;1.20E-09;4.089364;-0.5;-5.09E-10;4.089364;;;2.89999;5.0946E-10;1.20253E-09
2.8;1.18E-09;4.265433;-0.500001;-5.07E-10;4.265433;;;2.8;5.0684E-10;1.18207E-09
2.69999;1.17E-09;4.441625;-0.5;-5.08E-10;4.441625;;;2.69999;5.0776E-10;1.17019E-09
2.6;1.16E-09;4.6178;-0.500001;-5.09E-10;4.6178;;;2.6;5.0924E-10;1.15704E-09
2.49999;1.14E-09;4.793884;-0.5;-5.14E-10;4.793884;;;2.49999;5.1409E-10;1.14271E-09
2.40001;1.13E-09;4.971853;-0.500001;-5.22E-10;4.971853;;;2.40001;5.2167E-10;1.12905E-09
2.3;1.11E-09;5.147951;-0.5;-5.35E-10;5.147951;;;2.3;5.3504E-10;1.11152E-09
2.2;1.09E-09;5.324283;-0.500001;-5.54E-10;5.324283;;;2.2;5.5396E-10;1.09372E-09
2.1;1.08E-09;5.505684;-0.5;-5.80E-10;5.505684;;;2.1;5.7957E-10;1.07502E-09
2;1.05E-09;5.681708;-0.5;-6.13E-10;5.681708;;;2;6.1288E-10;1.0502E-09
1.89999;1.03E-09;5.890315;-0.5;-6.62E-10;5.890315;;;1.89999;6.6174E-10;1.02899E-09
1.79999;9.97E-10;6.066392;-0.5;-7.24E-10;6.066392;;;1.79999;7.236E-10;9.9745E-10
1.7;9.63E-10;6.242634;-0.5;-8.04E-10;6.242634;;;1.7;8.0415E-10;9.6329E-10
1.6;9.28E-10;6.418725;-0.5;-9.09E-10;6.418725;;;1.6;9.0873E-10;9.2813E-10
1.49999;8.79E-10;6.594895;-0.5;-1.04E-09;6.594895;;;1.49999;1.03531E-09;8.7876E-10
1.4;8.31E-10;6.77116;-0.5;-1.21E-09;6.77116;;;1.4;1.20587E-09;8.3127E-10
1.29999;7.76E-10;6.947299;-0.500001;-1.42E-09;6.947299;;;1.29999;1.41656E-09;7.756E-10
1.2;7.15E-10;7.123697;-0.5;-1.68E-09;7.123697;;;1.2;1.67635E-09;7.1492E-10
1.1;6.46E-10;7.299691;-0.5;-1.99E-09;7.299691;;;1.1;1.99291E-09;6.4638E-10
0.99999;5.98E-10;7.478286;-0.500001;-2.40E-09;7.478286;;;0.99999;2.39817E-09;5.9771E-10
0.89999;5.78E-10;7.654465;-0.499999;-2.91E-09;7.654465;;;0.89999;2.91007E-09;5.7812E-10
0.79999;5.90E-10;7.830504;-0.499999;-3.53E-09;7.830504;;;0.79999;3.53428E-09;5.9E-10
0.7;5.87E-10;8.012484;-0.499999;-4.23E-09;8.012484;;;0.7;4.22936E-09;5.8723E-10
0.6;5.60E-10;8.18853;-0.5;-5.03E-09;8.18853;;;0.6;5.03335E-09;5.5996E-10
