Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
0.0	1.7627e-05	6.6808e-11	-10.0	-2.5	-3.4369328124996055e-07
1.0	1.7632e-05	1.8351e-10	-10.0	-2.5	-3.407339583332919e-07
1.5	1.7637e-05	1.9584e-10	-10.0	-2.5	-3.367533203124594e-07
2.0	1.7638e-05	2.0118e-10	-10.0	-2.5	-3.367720312499592e-07
2.5	1.764e-05	2.0405e-10	-10.0	-2.5	-3.3579009114579383e-07
3.0	1.7643e-05	2.0534e-10	-10.0	-2.5	-3.3380749999995996e-07
3.5	1.7648e-05	2.0601e-10	-10.0	-2.5	-3.2982425781245876e-07
4.0	1.7655e-05	2.0668e-10	-10.0	-2.5	-3.2384036458329364e-07
4.5	1.7659e-05	2.0749e-10	-10.0	-2.5	-3.208558203124586e-07
5.0	1.766e-05	2.0724e-10	-10.0	-2.5	-3.2087062499996043e-07
5.5	1.7665e-05	2.0734e-10	-10.0	-2.5	-3.1688477864579394e-07
6.0	1.7671e-05	2.0822e-10	-10.0	-2.5	-3.1189828124995894e-07
6.5	1.7673e-05	2.0806e-10	-10.0	-2.5	-3.10911132812463e-07
7.0	1.7677e-05	2.0801e-10	-10.0	-2.5	-3.0792333333329295e-07
7.5	1.7677e-05	2.0806e-10	-10.0	-2.5	-3.0893488281246196e-07
8.0	1.7679e-05	2.0803e-10	-10.0	-2.5	-3.0794578124996027e-07
8.5	1.7684e-05	2.0806e-10	-10.0	-2.5	-3.0395602864579583e-07
9.0	1.7688e-05	2.0807e-10	-10.0	-2.5	-3.009656249999605e-07
9.5	1.7693e-05	2.0818e-10	-10.0	-2.5	-2.9697457031246e-07
10.0	1.7696e-05	2.0874e-10	-10.0	-2.5	-2.9498286458329423e-07
10.5	1.7696e-05	2.0853e-10	-10.0	-2.5	-2.959905078124585e-07
11.0	1.7699e-05	2.0812e-10	-10.0	-2.5	-2.939974999999601e-07
11.5	1.7704e-05	2.0821e-10	-10.0	-2.5	-2.900038411457977e-07
12.0	1.771e-05	2.0865e-10	-10.0	-2.5	-2.8500953124996003e-07
12.5	1.7711e-05	2.0857e-10	-10.0	-2.5	-2.8501457031246023e-07
