#scan;iMeasureCycle=1;iMux=0;time=0.148;N=492;LocalTime=21/12/2023 14:50:39;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
9.99999;1.58E-08;0.317551;-1.00E-05;-4.45E-09;0.317551;;;-1.00E-05;4.45468E-09
9.99999;1.56E-08;0.467562;-0.5;-9.52E-08;0.467562;;;-0.5;9.5174E-08
9.99999;1.55E-08;0.617277;-1;-2.06E-07;0.617277;;;-1;2.06124E-07
9.99999;1.54E-08;0.767019;-1.5;-3.26E-07;0.767019;;;-1.5;3.26191E-07
9.99999;1.53E-08;0.91678;-2;-4.49E-07;0.91678;;;-2;4.49275E-07
9.99999;1.53E-08;1.066567;-2.5;-5.71E-07;1.066567;;;-2.5;5.7109E-07
9.99999;1.52E-08;1.216433;-3;-6.89E-07;1.216433;;;-3;6.89324E-07
9.99999;1.51E-08;1.394368;-3.5;-8.05E-07;1.394368;;;-3.5;8.04579E-07
9.99999;1.51E-08;1.541658;-4;-9.11E-07;1.541658;;;-4;9.1111E-07
9.99999;1.51E-08;1.685589;-4.5;-1.01E-06;1.685589;;;-4.5;1.01122E-06
9.99999;1.50E-08;1.829491;-5;-1.10E-06;1.829491;;;-5;1.10466E-06
9.99999;1.50E-08;1.992024;-5.5;-1.19E-06;1.992024;;;-5.5;1.19333E-06
9.99999;1.50E-08;2.135876;-6;-1.27E-06;2.135876;;;-6;1.27334E-06
9.99999;1.49E-08;2.279728;-6.5;-1.35E-06;2.279728;;;-6.5;1.34833E-06
9.99999;1.49E-08;2.42358;-7;-1.42E-06;2.42358;;;-7;1.41724E-06
10;1.49E-08;2.567441;-7.5;-1.48E-06;2.567441;;;-7.5;1.48154E-06
9.99999;1.48E-08;2.711316;-8;-1.54E-06;2.711316;;;-8;1.54111E-06
9.99999;1.48E-08;2.879613;-8.5;-1.60E-06;2.879613;;;-8.5;1.59936E-06
9.99999;1.48E-08;3.023506;-9;-1.65E-06;3.023506;;;-9;1.65077E-06
9.99999;1.48E-08;3.167362;-9.5;-1.70E-06;3.167362;;;-9.5;1.69912E-06
10;1.48E-08;3.311235;-10;-1.74E-06;3.311235;;;-10;1.74378E-06
9.99999;1.47E-08;3.455077;-10.5;-1.79E-06;3.455077;;;-10.5;1.78559E-06
9.99999;1.46E-08;3.599011;-11;-1.83E-06;3.599011;;;-11;1.82517E-06
9.99999;1.46E-08;3.742845;-11.5;-1.86E-06;3.742845;;;-11.5;1.86237E-06
9.99999;1.44E-08;3.908493;-12;-1.90E-06;3.908493;;;-12;1.90026E-06
9.99999;1.44E-08;4.052438;-12.5;-1.93E-06;4.052438;;;-12.5;1.93295E-06
10;1.43E-08;4.196521;-13;-1.97E-06;4.196521;;;-13;0.000001966
9.99999;1.43E-08;4.340381;-13.5;-2.00E-06;4.340381;;;-13.5;1.99575E-06
9.99999;1.42E-08;4.497942;-14;-2.02E-06;4.497942;;;-14;2.02487E-06
9.99999;1.41E-08;4.641811;-14.5;-2.05E-06;4.641811;;;-14.5;2.05217E-06
9.99999;1.40E-08;4.785649;-15;-2.08E-06;4.785649;;;-15;2.07832E-06
9.99999;1.39E-08;4.92948;-15.5;-2.10E-06;4.92948;;;-15.5;2.1031E-06
9.99999;1.38E-08;5.073332;-16;-2.13E-06;5.073332;;;-16;2.12756E-06
