#scan;iMeasureCycle=1;iMux=0;time=0.137;N=482;LocalTime=27/10/2023 16:18:40;;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;
-60.0001;-2.26E-09;0.297668;1;1.32E-11;0.297668;;;3.63E-06;;;1.32E-11;2.26E-09
-59.5001;-1.96E-09;0.474662;0.999999;9.07E-12;0.474662;;;3.01E-06;;;9.07E-12;1.96E-09
-59;-1.76E-09;0.651217;1;9.77E-12;0.651217;;;3.13E-06;;;9.77E-12;1.76E-09
-58.5;-1.59E-09;0.845539;0.999999;6.90E-12;0.845539;;;2.63E-06;;;6.9E-12;1.59E-09
-58;-1.47E-09;1.02222;1;6.06E-12;1.02222;;;2.46E-06;;;6.06E-12;1.47E-09
-57.5;-1.37E-09;1.198891;0.999999;3.96E-12;1.198891;;;1.99E-06;;;3.96E-12;1.37E-09
-57;-1.28E-09;1.413779;1;-4.50E-13;1.413779;;;0;;;4.5E-13;1.28E-09
-56.5;-1.21E-09;1.590427;0.999999;-9.20E-13;1.590427;;;0;;;9.2E-13;1.21E-09
-56.0001;-1.17E-09;1.767069;0.999999;5.92E-12;1.767069;;;2.43E-06;;;5.92E-12;1.17E-09
-55.5001;-1.11E-09;1.943702;1.000001;2.57E-12;1.943702;;;1.60E-06;;;2.57E-12;1.11E-09
-55;-1.06E-09;2.120362;1;5.50E-12;2.120362;;;2.35E-06;;;5.5E-12;1.06E-09
-54.5;-1.01E-09;2.296922;0.999999;3.21E-12;2.296922;;;1.79E-06;;;3.21E-12;1.01E-09
-54;-9.87E-10;2.476024;0.999999;5.80E-12;2.476024;;;2.41E-06;;;5.8E-12;9.87E-10
-53.5001;-9.41E-10;2.65255;1;1.01E-11;2.65255;;;3.18E-06;;;1.01E-11;9.41E-10
-53.0001;-9.04E-10;2.852279;0.999999;1.95E-11;2.852279;;;4.42E-06;;;1.95E-11;9.04E-10
-52.5;-8.75E-10;3.028963;1;3.22E-11;3.028963;;;5.67E-06;;;3.22E-11;8.75E-10
