#scan;iMeasureCycle=1;iMux=0;time=0.148;N=492;LocalTime=21/12/2023 11:26:20;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
9.99999;1.61E-08;0.302127;-1.00E-05;-8.89E-09;0.302127;;;-1.00E-05;8.88662E-09
9.99999;1.40E-08;0.452233;-0.5;-8.15E-09;0.452233;;;-0.5;8.14515E-09
9.99999;1.36E-08;0.602029;-1;-7.83E-09;0.602029;;;-1;7.82626E-09
9.99999;1.43E-08;0.751716;-1.50001;-8.13E-09;0.751716;;;-1.50001;8.12866E-09
9.99999;1.33E-08;0.921924;-2.00001;-7.74E-09;0.921924;;;-2.00001;7.74083E-09
9.99999;1.31E-08;1.071688;-2.50001;-7.49E-09;1.071688;;;-2.50001;7.48532E-09
9.99999;1.29E-08;1.221507;-3;-7.39E-09;1.221507;;;-3;7.39266E-09
9.99999;1.23E-08;1.388693;-3.50001;-7.07E-09;1.388693;;;-3.50001;7.07166E-09
9.99999;1.10E-08;1.538449;-4;-6.52E-09;1.538449;;;-4;6.52424E-09
9.99999;1.08E-08;1.688252;-4.50001;-6.22E-09;1.688252;;;-4.50001;6.22156E-09
9.99999;1.08E-08;1.862888;-5;-6.36E-09;1.862888;;;-5;6.36363E-09
9.99999;1.13E-08;2.012654;-5.50001;-6.41E-09;2.012654;;;-5.50001;6.40791E-09
9.99999;9.89E-09;2.162462;-6.00001;-5.95E-09;2.162462;;;-6.00001;5.949E-09
9.99999;9.29E-09;2.354438;-6.50001;-5.60E-09;2.354438;;;-6.50001;5.60074E-09
9.99999;9.03E-09;2.504234;-7;-5.50E-09;2.504234;;;-7;5.49842E-09
9.99999;9.07E-09;2.674344;-7.50001;-5.45E-09;2.674344;;;-7.50001;5.4464E-09
9.99999;9.00E-09;2.824004;-8.00001;-5.41E-09;2.824004;;;-8.00001;5.41413E-09
10;9.14E-09;3.01169;-8.50001;-5.39E-09;3.01169;;;-8.50001;5.38685E-09
9.99999;9.64E-09;3.181691;-9.00001;-5.65E-09;3.181691;;;-9.00001;5.65189E-09
9.99999;9.29E-09;3.331362;-9.5;-5.52E-09;3.331362;;;-9.5;5.52249E-09
9.99999;9.02E-09;3.486793;-10;-5.39E-09;3.486793;;;-10;5.38773E-09
9.99999;8.92E-09;3.651458;-10.5;-5.35E-09;3.651458;;;-10.5;5.34585E-09
