#scan;iMeasureCycle=1;iMux=0;time=0.141;N=142;LocalTime=21/12/2023 11:30:44;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
-7.00003;-7.33E-08;8.941138;-0.5;-2.41E-06;8.941138;;;-7.00003;2.41317E-06;7.32922E-08
-7.5;-8.33E-08;9.070873;-0.5;-2.42E-06;9.070873;;;-7.5;2.41564E-06;8.3308E-08
-8;-1.06E-07;9.200281;-0.5;-2.41E-06;9.200281;;;-8;2.41033E-06;1.05633E-07
-8.5;-1.57E-07;9.329705;-0.5;-2.39E-06;9.329705;;;-8.5;2.38996E-06;1.568E-07
-9;-1.84E-07;9.468983;-0.5;-2.38E-06;9.468983;;;-9;2.37802E-06;1.83743E-07
-9.5;-2.14E-07;9.598374;-0.5;-2.36E-06;9.598374;;;-9.5;2.36373E-06;2.13841E-07
-10;-2.36E-07;9.727817;-0.5;-2.35E-06;9.727817;;;-10;2.34964E-06;2.36078E-07
-10.5;-2.49E-07;9.876379;-0.5;-2.34E-06;9.876379;;;-10.5;2.33912E-06;2.49168E-07
-11;-2.67E-07;10.00594;-0.5;-2.32E-06;10.00594;;;-11;2.32408E-06;2.66996E-07
-11.5;-2.82E-07;10.135376;-0.5;-2.31E-06;10.135376;;;-11.5;2.30975E-06;2.81712E-07
-12;-2.95E-07;10.26492;-0.5;-2.30E-06;10.26492;;;-12;2.29553E-06;2.94783E-07
-12.5;-3.10E-07;10.394682;-0.5;-2.28E-06;10.394682;;;-12.5;2.27841E-06;3.0998E-07
-13;-3.28E-07;10.524261;-0.5;-2.26E-06;10.524261;;;-13;2.25925E-06;3.27664E-07
-13.5;-3.39E-07;10.653744;-0.5;-2.24E-06;10.653744;;;-13.5;2.24218E-06;3.39131E-07
-14;-3.50E-07;10.783232;-0.5;-2.22E-06;10.783232;;;-14;2.2241E-06;3.50461E-07
-14.5;-3.65E-07;10.91274;-0.5;-2.20E-06;10.91274;;;-14.5;2.2036E-06;3.64782E-07
-15;-3.82E-07;11.042296;-0.5;-2.18E-06;11.042296;;;-15;2.18175E-06;3.82255E-07
-15;-3.78E-07;11.16582;-0.5;-2.18E-06;11.16582;;;-15;2.18197E-06;3.78397E-07
-14.5;-3.61E-07;11.295358;-0.5;-2.20E-06;11.295358;;;-14.5;2.20144E-06;3.61409E-07
-14;-3.44E-07;11.424847;-0.5;-2.22E-06;11.424847;;;-14;2.22004E-06;3.43589E-07
-13.5;-3.28E-07;11.5544;-0.5;-2.24E-06;11.5544;;;-13.5;2.23742E-06;3.27656E-07
-13;-3.07E-07;11.683846;-0.5;-2.26E-06;11.683846;;;-13;2.25584E-06;3.0698E-07
-12.5;-2.92E-07;11.813364;-0.5;-2.27E-06;11.813364;;;-12.5;2.27107E-06;2.92067E-07
-12;-2.75E-07;11.942804;-0.5;-2.29E-06;11.942804;;;-12;2.28574E-06;2.7484E-07
-11.5;-2.60E-07;12.072724;-0.5;-2.30E-06;12.072724;;;-11.5;2.29798E-06;2.60086E-07
-11;-2.42E-07;12.202277;-0.5;-2.31E-06;12.202277;;;-11;2.31063E-06;2.42079E-07
-10.5;-2.29E-07;12.33172;-0.5;-2.32E-06;12.33172;;;-10.5;2.31955E-06;2.29056E-07
-10;-2.16E-07;12.474935;-0.5;-2.33E-06;12.474935;;;-10;2.32682E-06;2.15767E-07
-9.5;-1.98E-07;12.604415;-0.5;-2.33E-06;12.604415;;;-9.5;2.33346E-06;1.98061E-07
-9;-1.82E-07;12.733845;-0.5;-2.34E-06;12.733845;;;-9;2.33801E-06;1.82208E-07
-8.5;-1.71E-07;12.88355;-0.5;-2.34E-06;12.88355;;;-8.5;2.33844E-06;1.7114E-07
-8;-1.57E-07;13.06079;-0.5;-2.34E-06;13.06079;;;-8;2.33811E-06;1.5747E-07
-7.5;-1.41E-07;13.190376;-0.5;-2.34E-06;13.190376;;;-7.5;2.33617E-06;1.41317E-07
-7;-1.30E-07;13.31987;-0.5;-2.33E-06;13.31987;;;-7;2.32864E-06;1.30162E-07
-6.5;-1.15E-07;13.449399;-0.5;-2.32E-06;13.449399;;;-6.5;2.32076E-06;1.14758E-07
-6;-1.02E-07;13.578913;-0.5;-2.31E-06;13.578913;;;-6;2.30742E-06;1.01975E-07
-5.5;-8.90E-08;13.708444;-0.5;-2.29E-06;13.708444;;;-5.5;2.29164E-06;8.8989E-08
-5;-7.75E-08;13.879493;-0.5;-2.27E-06;13.879493;;;-5;2.27099E-06;7.75451E-08
-4.49999;-6.59E-08;14.023431;-0.5;-2.25E-06;14.023431;;;-4.49999;2.24537E-06;6.59409E-08
-3.99999;-5.47E-08;14.167309;-0.5;-2.21E-06;14.167309;;;-3.99999;2.21401E-06;5.4718E-08
-3.5;-4.37E-08;14.311156;-0.5;-2.18E-06;14.311156;;;-3.5;2.17676E-06;4.36854E-08
-3;-3.36E-08;14.455078;-0.5;-2.13E-06;14.455078;;;-3;2.13142E-06;3.3627E-08
-2.49999;-2.36E-08;14.598975;-0.5;-2.08E-06;14.598975;;;-2.49999;0.000002077;2.36413E-08
-2.00004;-1.21E-08;14.742788;-0.5;-2.01E-06;14.742788;;;-2.00004;2.01296E-06;1.21468E-08
-1.50003;-3.17E-09;14.908979;-0.5;-1.93E-06;14.908979;;;-1.50003;1.9337E-06;3.17198E-09
-0.99999;5.08E-09;15.05884;-0.5;-1.84E-06;15.05884;;;-0.99999;1.83639E-06;5.08002E-09
-0.50001;1.21E-08;15.202712;-0.5;-1.71E-06;15.202712;;;-0.50001;1.71341E-06;1.20782E-08
-1.00E-05;1.36E-08;15.346588;-0.5;-1.55E-06;15.346588;;;-1.00E-05;1.54939E-06;1.35653E-08
0.49999;1.44E-08;15.491001;-0.5;-1.32E-06;15.491001;;;0.49999;1.32263E-06;1.44467E-08
0.99999;1.50E-08;15.63488;-0.5;-1.05E-06;15.63488;;;0.99999;1.0482E-06;1.4953E-08
1.49999;1.52E-08;15.781643;-0.5;-7.92E-07;15.781643;;;1.49999;7.92344E-07;1.51742E-08
1.99999;1.51E-08;15.931446;-0.5;-5.82E-07;15.931446;;;1.99999;5.81974E-07;1.51413E-08
2.49999;1.50E-08;16.07534;-0.5;-4.18E-07;16.07534;;;2.49999;4.17811E-07;1.50384E-08
2.99999;1.49E-08;16.219327;-0.5;-2.95E-07;16.219327;;;2.99999;2.95428E-07;1.48579E-08
3.49999;1.44E-08;16.396004;-0.5;-2.06E-07;16.396004;;;3.49999;2.06126E-07;1.43837E-08
3.99999;1.42E-08;16.539954;-0.5;-1.41E-07;16.539954;;;3.99999;1.41164E-07;1.42257E-08
4.49999;1.41E-08;16.683732;-0.5;-9.55E-08;16.683732;;;4.49999;9.5514E-08;1.41261E-08
4.99999;1.39E-08;16.84485;-0.5;-6.37E-08;16.84485;;;4.99999;6.36624E-08;1.38647E-08
5.49999;1.37E-08;17.021074;-0.500001;-4.20E-08;17.021074;;;5.49999;4.20272E-08;1.37172E-08
5.99999;1.37E-08;17.185184;-0.5;-2.82E-08;17.185184;;;5.99999;2.81654E-08;1.37353E-08
6.49999;1.42E-08;17.32898;-0.5;-1.94E-08;17.32898;;;6.49999;1.94432E-08;1.42121E-08
7.00001;1.43E-08;17.472993;-0.5;-1.41E-08;17.472993;;;7.00001;1.41416E-08;1.42806E-08
7.49999;1.88E-08;17.616907;-0.499999;-1.30E-08;17.616907;;;7.49999;1.30479E-08;1.87725E-08
8;2.03E-08;17.76082;-0.500002;-1.22E-08;17.76082;;;8;1.22074E-08;2.03307E-08
8.49999;2.56E-08;17.9165;-0.499998;-1.37E-08;17.9165;;;8.49999;1.36987E-08;2.55695E-08
8.99998;2.48E-08;18.060385;-0.499994;-1.29E-08;18.060385;;;8.99998;1.28612E-08;2.47779E-08
9.49999;3.05E-08;18.204215;-0.500001;-1.54E-08;18.204215;;;9.49999;1.54215E-08;3.05108E-08
9.99998;2.46E-08;18.348041;-0.499994;-1.26E-08;18.348041;;;9.99998;1.25515E-08;2.46118E-08
10.49999;2.41E-08;18.504669;-0.499998;-1.23E-08;18.504669;;;10.49999;1.23289E-08;2.41229E-08
10.99999;2.22E-08;18.648468;-0.499999;-1.14E-08;18.648468;;;10.99999;1.14483E-08;2.22419E-08
11.49999;2.23E-08;18.792366;-0.499999;-1.14E-08;18.792366;;;11.49999;1.14172E-08;2.22809E-08
12;2.15E-08;18.93625;-0.500002;-1.10E-08;18.93625;;;12;1.10428E-08;2.14661E-08
12.5;2.31E-08;19.080156;-0.499999;-1.17E-08;19.080156;;;12.5;1.17353E-08;2.3131E-08
12.99999;2.54E-08;19.224005;-0.499998;-1.27E-08;19.224005;;;12.99999;1.27126E-08;2.53901E-08
13.49999;2.18E-08;19.397736;-0.499998;-1.11E-08;19.397736;;;13.49999;1.10685E-08;2.18351E-08
13.99999;2.25E-08;19.541663;-0.500001;-1.14E-08;19.541663;;;13.99999;1.13818E-08;2.24764E-08
14.5;2.50E-08;19.68555;-0.500002;-1.25E-08;19.68555;;;14.5;1.24988E-08;2.49764E-08
14.99999;2.44E-08;19.829387;-0.5;-1.22E-08;19.829387;;;14.99999;1.21818E-08;2.44201E-08
15.49999;2.21E-08;19.973257;-0.5;-1.11E-08;19.973257;;;15.49999;1.10935E-08;2.20629E-08
16;2.43E-08;20.117343;-0.5;-1.21E-08;20.117343;;;16;1.20821E-08;2.43084E-08
16.49999;2.43E-08;20.261177;-0.499999;-1.21E-08;20.261177;;;16.49999;1.20543E-08;2.43144E-08
16.99999;2.14E-08;20.42208;-0.5;-1.07E-08;20.42208;;;16.99999;1.07345E-08;2.14443E-08
17.49999;2.29E-08;20.566037;-0.499999;-1.14E-08;20.566037;;;17.49999;1.13658E-08;2.29276E-08
17.99999;2.24E-08;20.709989;-0.499998;-1.11E-08;20.709989;;;17.99999;1.11019E-08;2.24139E-08
18.49999;1.99E-08;20.853796;-0.5;-1.00E-08;20.853796;;;18.49999;9.9989E-09;1.9944E-08
18.99999;1.98E-08;21.010991;-0.499998;-9.87E-09;21.010991;;;18.99999;9.8664E-09;1.97802E-08
19.49999;1.86E-08;21.154835;-0.499999;-9.33E-09;21.154835;;;19.49999;9.3316E-09;1.85998E-08
19.99999;2.30E-08;21.298772;-0.499998;-1.13E-08;21.298772;;;19.99999;1.12598E-08;2.29881E-08
