#scan;iMeasureCycle=1;iMux=0;time=0.138;N=142;LocalTime=21/12/2023 11:29:16;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;2.07E-08;0.286481;-10;-1.13E-08;0.286481;;;19.99999;1.13E-08;2.07E-08;0.000106234;;;6.62E-09
19.49999;1.69E-08;0.430657;-10;-9.70E-09;0.430657;;;19.49999;9.70E-09;1.69E-08;9.85E-05;;;
18.99999;1.43E-08;0.589437;-10.00001;-8.40E-09;0.589437;;;18.99999;8.40E-09;1.43E-08;9.16E-05;;;[IDS_max
18.5;1.31E-08;0.739274;-10.00001;-7.81E-09;0.739274;;;18.5;7.81E-09;1.31E-08;8.84E-05;;;6.24E-05
18;1.21E-08;0.889018;-10;-7.31E-09;0.889018;;;18;7.31E-09;1.21E-08;8.55E-05;;;
17.5;1.15E-08;1.038832;-10.00001;-6.93E-09;1.038832;;;17.5;6.93E-09;1.15E-08;8.33E-05;;;ON/OFF
17;1.09E-08;1.188533;-10.00001;-6.62E-09;1.188533;;;17;6.62E-09;1.09E-08;8.14E-05;;;9.42E+03
16.5;1.04E-08;1.370423;-10;-6.31E-09;1.370423;;;16.5;6.31E-09;1.04E-08;7.94E-05;;;
16;1.00E-08;1.520142;-10.00001;-6.08E-09;1.520142;;;16;6.08E-09;1.00E-08;7.80E-05;;;
15.5;9.68E-09;1.669976;-10.00001;-5.88E-09;1.669976;;;15.5;5.88E-09;9.68E-09;7.67E-05;;;
15;9.45E-09;1.83606;-10;-5.69E-09;1.83606;;;15;5.69E-09;9.45E-09;7.54E-05;;;
14.50001;9.23E-09;1.985936;-10;-5.56E-09;1.985936;;;14.50001;5.56E-09;9.23E-09;7.46E-05;;;
14;9.08E-09;2.135588;-10.00001;-5.45E-09;2.135588;;;14;5.45E-09;9.08E-09;7.38E-05;;;
13.5;9.08E-09;2.285344;-10;-5.41E-09;2.285344;;;13.5;5.41E-09;9.08E-09;7.35E-05;;;
12.99999;8.78E-09;2.452574;-10.00001;-5.26E-09;2.452574;;;12.99999;5.26E-09;8.78E-09;7.26E-05;;;
12.49999;8.64E-09;2.628735;-10;-5.15E-09;2.628735;;;12.49999;5.15E-09;8.64E-09;7.18E-05;;;
12;8.77E-09;2.804913;-10;-5.18E-09;2.804913;;;12;5.18E-09;8.77E-09;7.20E-05;;;
11.5;8.68E-09;2.995769;-10;-5.19E-09;2.995769;;;11.5;5.19E-09;8.68E-09;7.21E-05;;;
10.99999;9.05E-09;3.171755;-10;-5.58E-09;3.171755;;;10.99999;5.58E-09;9.05E-09;7.47E-05;;;
10.5;8.89E-09;3.376566;-10;-6.04E-09;3.376566;;;10.5;6.04E-09;8.89E-09;7.77E-05;;;
10;8.69E-09;3.552614;-10.00001;-6.95E-09;3.552614;;;10;6.95E-09;8.69E-09;8.34E-05;;;
9.49999;8.30E-09;3.728655;-10.00001;-8.75E-09;3.728655;;;9.49999;8.75E-09;8.30E-09;9.35E-05;;;
9.00001;6.70E-09;3.904551;-10.00001;-1.18E-08;3.904551;;;9.00001;1.18E-08;6.70E-09;0.000108405;;;
8.5;6.66E-09;4.05436;-10.00001;-1.86E-08;4.05436;;;8.5;1.86E-08;6.66E-09;0.000136435;;;
8;5.69E-09;4.204166;-10.00001;-3.08E-08;4.204166;;;8;3.08E-08;5.69E-09;0.000175515;;;
7.49999;5.11E-09;4.380746;-10.00001;-5.34E-08;4.380746;;;7.49999;5.34E-08;5.11E-09;0.00023111;;;
7;4.88E-09;4.530589;-10.00001;-9.34E-08;4.530589;;;7;9.34E-08;4.88E-09;0.000305657;;;
6.49999;4.57E-09;4.686298;-10;-1.59E-07;4.686298;;;6.49999;1.59E-07;4.57E-09;0.000398541;;;
6;5.00E-09;4.863364;-10;-2.61E-07;4.863364;;;6;2.61E-07;5.00E-09;0.000511152;;;
5.49999;4.87E-09;5.013243;-10;-4.11E-07;5.013243;;;5.49999;4.11E-07;4.87E-09;0.000641466;;;
4.99999;4.91E-09;5.162967;-10;-6.24E-07;5.162967;;;4.99999;6.24E-07;4.91E-09;0.000790033;;;
4.49999;5.11E-09;5.312813;-10;-9.18E-07;5.312813;;;4.49999;9.18E-07;5.11E-09;0.000958258;;;
3.99999;5.17E-09;5.4796;-10;-1.31E-06;5.4796;;;3.99999;1.31E-06;5.17E-09;0.001145997;;;
3.5;4.94E-09;5.629504;-10;-1.84E-06;5.629504;;;3.5;1.84E-06;4.94E-09;0.001357641;;;
2.99999;4.59E-09;5.779264;-10;-2.54E-06;5.779264;;;2.99999;2.54E-06;4.59E-09;0.001593289;;;
2.49999;4.16E-09;5.929112;-10;-3.44E-06;5.929112;;;2.49999;3.44E-06;4.16E-09;0.001854031;;;
2;3.65E-09;6.079055;-10;-4.56E-06;6.079055;;;2;4.56E-06;3.65E-09;0.00213484;;;
1.49999;3.05E-09;6.228974;-10;-5.93E-06;6.228974;;;1.49999;5.93E-06;3.05E-09;0.002434455;;;
1.00001;2.37E-09;6.385784;-10;-7.56E-06;6.385784;;;1.00001;7.56E-06;2.37E-09;0.002749925;;;
0.49999;1.54E-09;6.535614;-10;-9.48E-06;6.535614;;;0.49999;9.48E-06;1.54E-09;0.003079006;;;
-1.00E-05;6.59E-10;6.688769;-10;-1.16E-05;6.688769;;;-1.00E-05;1.16E-05;6.59E-10;0.003407991;;;
-0.5;-2.37E-10;6.861431;-10;-1.38E-05;6.861431;;;-0.5;1.38E-05;2.37E-10;0.003721277;;;
-1;-1.31E-09;7.01132;-10;-1.62E-05;7.01132;;;-1;1.62E-05;1.31E-09;0.004021679;;;
