#scan;iMeasureCycle=1;iMux=0;time=0.13;N=482;LocalTime=27/10/2023 16:04:47;;;;;;|IDrain|, |IGate| (A);;;ON/OFF
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;;;2420000000
-60;-2.37E-09;0.290609;0.999999;1.36E-11;0.290609;;;3.69E-06;;;1.36E-11;2.37E-09;;
-59.5001;-2.05E-09;0.467559;1;1.06E-11;0.467559;;;3.26E-06;;;1.06E-11;2.05E-09;;
-59;-1.83E-09;0.644283;0.999999;8.20E-12;0.644283;;;2.86E-06;;;8.20E-12;1.83E-09;;
-58.5;-1.66E-09;0.838243;0.999999;5.11E-12;0.838243;;;2.26E-06;;;5.11E-12;1.66E-09;;
-58;-1.55E-09;1.014955;0.999999;6.94E-12;1.014955;;;2.63E-06;;;6.94E-12;1.55E-09;;
-57.5001;-1.45E-09;1.191447;0.999999;5.50E-12;1.191447;;;2.35E-06;;;5.50E-12;1.45E-09;;
-57.0001;-1.35E-09;1.401976;0.999999;2.78E-12;1.401976;;;1.67E-06;;;2.78E-12;1.35E-09;;
-56.5;-1.27E-09;1.578644;1.000001;1.77E-12;1.578644;;;1.33E-06;;;1.77E-12;1.27E-09;;
-56;-1.21E-09;1.755211;0.999999;2.52E-12;1.755211;;;1.59E-06;;;2.52E-12;1.21E-09;;
-55.5001;-1.16E-09;1.931939;0.999999;1.70E-13;1.931939;;;4.12E-07;;;1.70E-13;1.16E-09;;
-55.0001;-1.11E-09;2.108551;0.999999;1.88E-12;2.108551;;;1.37E-06;;;1.88E-12;1.11E-09;;
-54.5001;-1.06E-09;2.285191;0.999999;-1.50E-13;2.285191;;;0;;;1.50E-13;1.06E-09;;
-54;-1.02E-09;2.462556;1;6.40E-13;2.462556;;;0.0000008;;;6.40E-13;1.02E-09;;
-53.5001;-9.87E-10;2.639158;1;2.20E-12;2.639158;;;1.48E-06;;;2.20E-12;9.87E-10;;
-53.0001;-9.54E-10;2.815561;0.999999;3.30E-13;2.815561;;;5.74E-07;;;3.30E-13;9.54E-10;;
-52.5;-9.23E-10;3.000393;1;1.29E-12;3.000393;;;1.14E-06;;;1.29E-12;9.23E-10;;
-52;-8.79E-10;3.176962;1;-1.75E-12;3.176962;;;0;;;1.75E-12;8.79E-10;;
-51.5001;-8.50E-10;3.386884;0.999999;3.60E-13;3.386884;;;0.0000006;;;3.60E-13;8.50E-10;;
-51;-8.24E-10;3.563515;0.999999;-1.03E-12;3.563515;;;0;;;1.03E-12;8.24E-10;;
-50.5001;-7.95E-10;3.739974;1;-2.15E-12;3.739974;;;0;;;2.15E-12;7.95E-10;;
-50.0001;-7.72E-10;3.916691;0.999999;-1.32E-12;3.916691;;;0;;;1.32E-12;7.72E-10;;
-49.5001;-7.49E-10;4.093357;1;-8.50E-13;4.093357;;;0;;;8.50E-13;7.49E-10;;
-49.0001;-7.18E-10;4.269964;1;-1.07E-12;4.269964;;;0;;;1.07E-12;7.18E-10;;
-48.5;-7.08E-10;4.44881;1;1.70E-13;4.44881;;;4.12E-07;;;1.70E-13;7.08E-10;;
-48.0001;-6.88E-10;4.625437;1;1.54E-12;4.625437;;;1.24E-06;;;1.54E-12;6.88E-10;;
-47.5001;-6.62E-10;4.801866;0.999999;3.90E-13;4.801866;;;6.25E-07;;;3.90E-13;6.62E-10;;
-47;-6.37E-10;4.980402;0.999999;-1.82E-12;4.980402;;;0;;;1.82E-12;6.37E-10;;
-46.5001;-6.26E-10;5.156929;0.999999;-1.50E-13;5.156929;;;0;;;1.50E-13;6.26E-10;;
-46.0001;-5.94E-10;5.351993;1;-3.90E-12;5.351993;;;0;;;3.90E-12;5.94E-10;;
-45.5001;-5.83E-10;5.528516;0.999999;-7.60E-13;5.528516;;;0;;;7.60E-13;5.83E-10;;
-45.0001;-5.69E-10;5.704877;1;6.80E-13;5.704877;;;8.25E-07;;;6.80E-13;5.69E-10;;
-44.5001;-5.55E-10;5.920154;1;6.90E-13;5.920154;;;8.31E-07;;;6.90E-13;5.55E-10;;
-44.0001;-5.39E-10;6.096707;1;1.07E-12;6.096707;;;1.03E-06;;;1.07E-12;5.39E-10;;
-43.5001;-5.15E-10;6.273218;0.999999;-2.15E-12;6.273218;;;0;;;2.15E-12;5.15E-10;;
-43;-5.04E-10;6.449665;1;-1.42E-12;6.449665;;;0;;;1.42E-12;5.04E-10;;
-42.5;-4.85E-10;6.626248;1.000001;-1.45E-12;6.626248;;;0;;;1.45E-12;4.85E-10;;
-42.0001;-4.75E-10;6.802696;0.999999;1.42E-12;6.802696;;;1.19E-06;;;1.42E-12;4.75E-10;;
-41.5;-4.54E-10;6.979403;0.999999;-9.40E-13;6.979403;;;0;;;9.40E-13;4.54E-10;;
-41.0001;-4.46E-10;7.155867;0.999999;1.00E-13;7.155867;;;3.16E-07;;;1.00E-13;4.46E-10;;
-40.5;-4.27E-10;7.332229;0.999999;-2.47E-12;7.332229;;;0;;;2.47E-12;4.27E-10;;
-40;-4.18E-10;7.514125;1.000001;-1.40E-13;7.514125;;;0;;;1.40E-13;4.18E-10;;
-39.5;-4.03E-10;7.690527;0.999999;-1.53E-12;7.690527;;;0;;;1.53E-12;4.03E-10;;
-39;-3.89E-10;7.896291;1;-1.91E-12;7.896291;;;0;;;1.91E-12;3.89E-10;;
-38.5001;-3.75E-10;8.072675;1;-2.06E-12;8.072675;;;0;;;2.06E-12;3.75E-10;;
-38;-3.62E-10;8.249022;0.999999;-3.16E-12;8.249022;;;0;;;3.16E-12;3.62E-10;;
-37.5;-3.49E-10;8.426169;0.999999;-2.22E-12;8.426169;;;0;;;2.22E-12;3.49E-10;;
-37.0001;-3.36E-10;8.60261;1;-1.59E-12;8.60261;;;0;;;1.59E-12;3.36E-10;;
-36.5001;-3.23E-10;8.778963;0.999999;-1.96E-12;8.778963;;;0;;;1.96E-12;3.23E-10;;
-36;-3.15E-10;8.955437;1;-9.60E-13;8.955437;;;0;;;9.60E-13;3.15E-10;;
-35.5;-3.05E-10;9.131802;0.999999;-7.30E-13;9.131802;;;0;;;7.30E-13;3.05E-10;;
-35;-2.82E-10;9.308137;0.999999;-5.17E-12;9.308137;;;0;;;5.17E-12;2.82E-10;;
-34.5001;-2.87E-10;9.484444;1;1.61E-12;9.484444;;;1.27E-06;;;1.61E-12;2.87E-10;;
-34;-2.70E-10;9.660793;0.999999;5.40E-13;9.660793;;;7.35E-07;;;5.40E-13;2.70E-10;;
-33.5;-2.50E-10;9.837172;1;-3.24E-12;9.837172;;;0;;;3.24E-12;2.50E-10;;
-33;-2.49E-10;10.021198;1;2.00E-13;10.021198;;;4.47E-07;;;2.00E-13;2.49E-10;;
-32.5;-2.30E-10;10.197419;0.999999;-3.88E-12;10.197419;;;0;;;3.88E-12;2.30E-10;;
-32;-2.34E-10;10.407725;0.999999;2.30E-13;10.407725;;;4.80E-07;;;2.30E-13;2.34E-10;;
-31.5;-2.21E-10;10.584377;0.999999;6.90E-13;10.584377;;;8.31E-07;;;6.90E-13;2.21E-10;;
-31.0001;-2.03E-10;10.76071;1;-2.01E-12;10.76071;;;0;;;2.01E-12;2.03E-10;;
-30.5001;-2.00E-10;10.937656;1;7.70E-13;10.937656;;;8.77E-07;;;7.70E-13;2.00E-10;;
-30.0001;-1.86E-10;11.114028;0.999999;-6.00E-14;11.114028;;;0;;;6.00E-14;1.86E-10;;
