Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
0.0	1.678e-05	3.3189e-10	-10.0	-2.5	-2.044411187333717e-07
1.0	1.6785e-05	1.64e-10	-10.0	-2.5	-2.0072429792963812e-07
1.5	1.6785e-05	1.4429e-10	-10.0	-2.5	-2.0136451311642448e-07
2.0	1.6784e-05	1.331e-10	-10.0	-2.5	-2.0300381202897474e-07
2.5	1.6784e-05	1.2733e-10	-10.0	-2.5	-2.0364219466729468e-07
3.0	1.6786e-05	1.2471e-10	-10.0	-2.5	-2.0227966103137873e-07
3.5	1.6785e-05	1.24e-10	-10.0	-2.5	-2.0391621112123446e-07
4.0	1.6788e-05	1.2382e-10	-10.0	-2.5	-2.0155184493685668e-07
4.5	1.6788e-05	1.2561e-10	-10.0	-2.5	-2.021865624782438e-07
5.0	1.6788e-05	1.2765e-10	-10.0	-2.5	-2.0282036374539943e-07
5.5	1.6786e-05	1.3013e-10	-10.0	-2.5	-2.0545324873831776e-07
6.0	1.6786e-05	1.2876e-10	-10.0	-2.5	-2.0608521745700697e-07
6.5	1.6789e-05	1.3142e-10	-10.0	-2.5	-2.0371626990146486e-07
7.0	1.6788e-05	1.3436e-10	-10.0	-2.5	-2.0534640607168986e-07
7.5	1.6788e-05	1.3635e-10	-10.0	-2.5	-2.0597562596768115e-07
8.0	1.6789e-05	1.3961e-10	-10.0	-2.5	-2.0560392958943535e-07
8.5	1.6791e-05	1.4041e-10	-10.0	-2.5	-2.0423131693696263e-07
9.0	1.6788e-05	1.4207e-10	-10.0	-2.5	-2.078577880102558e-07
9.5	1.6791e-05	1.4509e-10	-10.0	-2.5	-2.0548334280931448e-07
10.0	1.6791e-05	1.4864e-10	-10.0	-2.5	-2.0610798133414144e-07
10.5	1.6793e-05	1.4898e-10	-10.0	-2.5	-2.047317035847325e-07
11.0	1.6795e-05	1.521e-10	-10.0	-2.5	-2.0335450956109207e-07
11.5	1.6799e-05	1.5386e-10	-10.0	-2.5	-1.999763992632225e-07
12.0	1.6795e-05	1.554e-10	-10.0	-2.5	-2.0459737269111527e-07
12.5	1.6792e-05	1.5893e-10	-10.0	-2.5	-2.082174298447777e-07
13.0	1.6795e-05	1.597e-10	-10.0	-2.5	-2.0583657072420565e-07
13.5	1.6798e-05	1.6189e-10	-10.0	-2.5	-2.0345479532940208e-07
14.0	1.6798e-05	1.6381e-10	-10.0	-2.5	-2.040721036603668e-07
14.5	1.6801e-05	1.6493e-10	-10.0	-2.5	-2.0168849571709682e-07
15.0	1.6797e-05	1.6766e-10	-10.0	-2.5	-2.0630397149959712e-07
15.5	1.68e-05	1.6877e-10	-10.0	-2.5	-2.0391853100786413e-07
16.0	1.6802e-05	1.692e-10	-10.0	-2.5	-2.0253217424189503e-07
16.5	1.6802e-05	1.6841e-10	-10.0	-2.5	-2.0314490120169204e-07
17.0	1.6803e-05	1.7212e-10	-10.0	-2.5	-2.0275671188725873e-07
17.5	1.6806e-05	1.7101e-10	-10.0	-2.5	-2.0036760629859292e-07
18.0	1.6807e-05	1.7262e-10	-10.0	-2.5	-1.999775844356932e-07
18.5	1.6808e-05	1.741e-10	-10.0	-2.5	-1.9958664629856197e-07
19.0	1.6808e-05	1.738e-10	-10.0	-2.5	-2.0019479188719804e-07
19.5	1.6805e-05	1.7558e-10	-10.0	-2.5	-2.0380202120159901e-07
20.0	1.6808e-05	1.7539e-10	-10.0	-2.5	-2.0140833424176887e-07
20.5	1.6811e-05	1.7725e-10	-10.0	-2.5	-1.9901373100770722e-07
21.0	1.6812e-05	1.777e-10	-10.0	-2.5	-1.9861821149940828e-07
21.5	1.6815e-05	1.7815e-10	-10.0	-2.5	-1.9622177571688022e-07
22.0	1.6816e-05	1.7991e-10	-10.0	-2.5	-1.9582442366011826e-07
22.5	1.6817e-05	1.7985e-10	-10.0	-2.5	-1.954261553291248e-07
23.0	1.6817e-05	1.8e-10	-10.0	-2.5	-1.9602697072389522e-07
23.5	1.6817e-05	1.8124e-10	-10.0	-2.5	-1.9662686984443415e-07
24.0	1.682e-05	1.8188e-10	-10.0	-2.5	-1.9422585269073838e-07
24.5	1.6822e-05	1.8224e-10	-10.0	-2.5	-1.9282391926281667e-07
25.0	1.6825e-05	1.8167e-10	-10.0	-2.5	-1.9042106956065788e-07
25.5	1.6823e-05	1.8194e-10	-10.0	-2.5	-1.930173035842616e-07
26.0	1.6822e-05	1.8418e-10	-10.0	-2.5	-1.946126213336384e-07
26.5	1.6825e-05	1.8437e-10	-10.0	-2.5	-1.9220702280878168e-07
