#scan;iMeasureCycle=1;iMux=0;time=0.142;N=210;LocalTime=20/12/2023 15:30:12;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;2.66E-09;0.302277;-1.00E-05;-1.28E-09;0.302277;;;-1.00E-05;1.28186E-09
5;2.39E-09;0.478703;-0.50001;-1.17E-09;0.478703;;;-0.50001;1.16667E-09
4.99999;2.25E-09;0.654793;-1;-1.10E-09;0.654793;;;-1;1.09898E-09
5;2.14E-09;0.850914;-1.50001;-1.05E-09;0.850914;;;-1.50001;1.04851E-09
4.99999;2.08E-09;1.026965;-2;-1.02E-09;1.026965;;;-2;1.01667E-09
4.99999;2.02E-09;1.202999;-2.5;-9.88E-10;1.202999;;;-2.5;9.8764E-10
5;1.97E-09;1.411838;-3;-9.58E-10;1.411838;;;-3;9.5834E-10
4.99999;1.93E-09;1.587879;-3.5;-9.38E-10;1.587879;;;-3.5;9.3782E-10
5;1.89E-09;1.76394;-4;-9.19E-10;1.76394;;;-4;9.1925E-10
5;1.86E-09;1.940106;-4.50001;-9.03E-10;1.940106;;;-4.50001;9.0265E-10
4.99999;1.83E-09;2.116327;-5;-8.88E-10;2.116327;;;-5;8.8785E-10
4.99999;1.80E-09;2.29237;-5.5;-8.73E-10;2.29237;;;-5.5;8.7255E-10
4.99999;1.77E-09;2.469271;-6.00001;-8.58E-10;2.469271;;;-6.00001;8.577E-10
5;1.75E-09;2.645428;-6.5;-8.44E-10;2.645428;;;-6.5;8.4448E-10
4.99999;1.72E-09;2.821466;-7.00001;-8.31E-10;2.821466;;;-7.00001;8.3069E-10
4.99999;1.70E-09;3.012446;-7.5;-8.20E-10;3.012446;;;-7.5;8.1981E-10
5;1.68E-09;3.188593;-8;-8.10E-10;3.188593;;;-8;8.1E-10
4.99999;1.65E-09;3.393035;-8.50001;-8.00E-10;3.393035;;;-8.50001;7.9967E-10
5;1.64E-09;3.569133;-9.00001;-7.87E-10;3.569133;;;-9.00001;7.8732E-10
5;1.62E-09;3.745172;-9.5;-7.76E-10;3.745172;;;-9.5;7.7588E-10
5;1.60E-09;3.92271;-10.00001;-7.62E-10;3.92271;;;-10.00001;7.6178E-10
5;1.59E-09;4.043921;-10.00001;-7.58E-10;4.043921;;;-10.00001;7.5764E-10
5;1.57E-09;4.219867;-9.50001;-7.43E-10;4.219867;;;-9.50001;7.428E-10
5;1.55E-09;4.423308;-9.00001;-7.33E-10;4.423308;;;-9.00001;7.3268E-10
4.99999;1.54E-09;4.599339;-8.5;-7.19E-10;4.599339;;;-8.5;7.1856E-10
4.99999;1.52E-09;4.77548;-8.00001;-7.11E-10;4.77548;;;-8.00001;7.1093E-10
4.99999;1.50E-09;4.951563;-7.50001;-7.00E-10;4.951563;;;-7.50001;6.9981E-10
5;1.49E-09;5.127626;-7;-6.92E-10;5.127626;;;-7;6.9198E-10
5;1.47E-09;5.303773;-6.5;-6.83E-10;5.303773;;;-6.5;6.8272E-10
4.99999;1.47E-09;5.480216;-6.00001;-6.73E-10;5.480216;;;-6.00001;6.7309E-10
5;1.45E-09;5.656557;-5.50001;-6.64E-10;5.656557;;;-5.50001;6.6385E-10
5;1.44E-09;5.832643;-5;-6.55E-10;5.832643;;;-5;6.5486E-10
4.99999;1.42E-09;6.020577;-4.50001;-6.45E-10;6.020577;;;-4.50001;6.4504E-10
4.99999;1.41E-09;6.196567;-4;-6.35E-10;6.196567;;;-4;6.3544E-10
5;1.39E-09;6.405627;-3.50001;-6.23E-10;6.405627;;;-3.50001;6.225E-10
5;1.38E-09;6.581719;-3;-6.15E-10;6.581719;;;-3;6.1547E-10
5;1.36E-09;6.757761;-2.5;-6.09E-10;6.757761;;;-2.5;6.0882E-10
4.99999;1.36E-09;6.935544;-2.00001;-6.00E-10;6.935544;;;-2.00001;6.0043E-10
5;1.34E-09;7.111652;-1.5;-5.93E-10;7.111652;;;-1.5;5.9282E-10
4.99999;1.33E-09;7.287805;-1;-5.85E-10;7.287805;;;-1;5.8451E-10
4.99999;1.32E-09;7.464022;-0.5;-5.77E-10;7.464022;;;-0.5;5.7725E-10
5;1.32E-09;7.640121;-1.00E-05;-5.74E-10;7.640121;;;-1.00E-05;5.7407E-10
2.49999;1.17E-09;7.816262;0;-5.08E-10;7.816262;;;0;5.0794E-10
2.5;1.26E-09;7.994422;-0.50001;-1.23E-09;7.994422;;;-0.50001;1.23185E-09
2.49999;1.27E-09;8.170426;-1.00001;-1.85E-09;8.170426;;;-1.00001;1.85442E-09
2.5;1.26E-09;8.371445;-1.5;-2.29E-09;8.371445;;;-1.5;2.29321E-09
2.49999;1.25E-09;8.5476;-2.00001;-2.64E-09;8.5476;;;-2.00001;2.63669E-09
2.5;1.25E-09;8.723655;-2.5;-2.95E-09;8.723655;;;-2.5;2.94566E-09
2.49999;1.23E-09;8.937498;-3;-3.21E-09;8.937498;;;-3;3.20692E-09
2.49999;1.23E-09;9.113598;-3.5;-3.43E-09;9.113598;;;-3.5;3.43435E-09
2.5;1.22E-09;9.289627;-4.00001;-3.64E-09;9.289627;;;-4.00001;3.64471E-09
2.49999;1.21E-09;9.467817;-4.50001;-3.85E-09;9.467817;;;-4.50001;3.84628E-09
2.49999;1.20E-09;9.643917;-5;-4.01E-09;9.643917;;;-5;4.01195E-09
2.5;1.19E-09;9.820022;-5.5;-4.17E-09;9.820022;;;-5.5;4.17414E-09
2.5;1.19E-09;9.996758;-6;-4.30E-09;9.996758;;;-6;4.30441E-09
2.49999;1.18E-09;10.17281;-6.5;-4.43E-09;10.17281;;;-6.5;4.43373E-09
2.5;1.17E-09;10.348973;-7;-4.58E-09;10.348973;;;-7;4.57746E-09
2.49999;1.16E-09;10.532993;-7.50001;-4.66E-09;10.532993;;;-7.50001;4.66327E-09
2.5;1.16E-09;10.70901;-8;-4.80E-09;10.70901;;;-8;4.80244E-09
2.5;1.15E-09;10.918345;-8.5;-4.89E-09;10.918345;;;-8.5;4.89266E-09
2.5;1.14E-09;11.094432;-9;-4.97E-09;11.094432;;;-9;4.9697E-09
2.5;1.13E-09;11.270538;-9.5;-5.11E-09;11.270538;;;-9.5;5.11228E-09
2.49999;1.12E-09;11.446589;-10;-5.20E-09;11.446589;;;-10;5.19656E-09
2.49999;1.12E-09;11.567805;-10;-5.21E-09;11.567805;;;-10;5.21012E-09
2.49999;1.11E-09;11.743885;-9.5;-5.12E-09;11.743885;;;-9.5;5.12322E-09
2.49999;1.10E-09;11.944107;-9;-5.02E-09;11.944107;;;-9;5.02281E-09
2.49999;1.09E-09;12.120227;-8.5;-4.94E-09;12.120227;;;-8.5;4.93514E-09
2.5;1.09E-09;12.296271;-8;-4.85E-09;12.296271;;;-8;4.84947E-09
2.5;1.08E-09;12.472413;-7.5;-4.72E-09;12.472413;;;-7.5;4.72363E-09
2.5;1.07E-09;12.648568;-7.00001;-4.60E-09;12.648568;;;-7.00001;4.60337E-09
2.49999;1.06E-09;12.82486;-6.50001;-4.48E-09;12.82486;;;-6.50001;4.47668E-09
2.49999;1.06E-09;13.001725;-6;-4.33E-09;13.001725;;;-6;4.33216E-09
2.5;1.05E-09;13.178022;-5.50001;-4.21E-09;13.178022;;;-5.50001;4.20808E-09
2.49999;1.04E-09;13.354107;-5;-4.01E-09;13.354107;;;-5;4.01017E-09
2.5;1.04E-09;13.541021;-4.5;-3.84E-09;13.541021;;;-4.5;3.84338E-09
2.49999;1.03E-09;13.717062;-4;-3.63E-09;13.717062;;;-4;3.63403E-09
2.5;1.02E-09;13.926408;-3.5;-3.41E-09;13.926408;;;-3.5;3.40541E-09
2.5;1.02E-09;14.102414;-3.00001;-3.17E-09;14.102414;;;-3.00001;3.17484E-09
2.5;1.01E-09;14.278392;-2.5;-2.86E-09;14.278392;;;-2.5;2.86224E-09
2.49999;1.00E-09;14.456142;-2.00001;-2.54E-09;14.456142;;;-2.00001;2.53635E-09
2.49999;9.98E-10;14.632173;-1.50001;-2.16E-09;14.632173;;;-1.50001;2.15939E-09
2.5;9.88E-10;14.808192;-1.00001;-1.69E-09;14.808192;;;-1.00001;1.6939E-09
2.5;9.77E-10;14.984473;-0.50001;-1.06E-09;14.984473;;;-0.50001;1.06066E-09
2.49999;9.30E-10;15.160623;0;-3.59E-10;15.160623;;;0;3.5877E-10
-7.00E-07;-1.62E-09;15.336792;-1.00E-05;2.01E-09;15.336792;;;-1.00E-05;2.0094E-09
3.00E-07;-5.89E-10;15.489921;-0.5;-8.84E-07;15.489921;;;-0.5;8.8363E-07
4.00E-07;-1.28E-11;15.639768;-1;-1.39E-06;15.639768;;;-1;1.3901E-06
1.00E-07;1.00E-10;15.789518;-1.5;-1.61E-06;15.789518;;;-1.5;1.61446E-06
1.00E-07;4.30E-11;15.939345;-2;-1.73E-06;15.939345;;;-2;1.73197E-06
-2.00E-07;-2.63E-12;16.089154;-2.5;-1.80E-06;16.089154;;;-2.5;1.80299E-06
2.00E-07;-1.99E-11;16.238905;-3;-1.85E-06;16.238905;;;-3;1.85119E-06
-1.00E-07;-2.68E-11;16.424222;-3.5;-1.89E-06;16.424222;;;-3.5;1.88615E-06
-1.00E-07;-2.12E-11;16.574068;-4;-1.91E-06;16.574068;;;-4;1.9145E-06
1.00E-07;-1.33E-11;16.723861;-4.5;-1.94E-06;16.723861;;;-4.5;1.93806E-06
0;-6.99E-12;16.908015;-5;-1.96E-06;16.908015;;;-5;1.95773E-06
-2.00E-07;3.00E-13;17.057887;-5.5;-1.98E-06;17.057887;;;-5.5;1.97563E-06
-3.00E-07;6.85E-12;17.207769;-6;-1.99E-06;17.207769;;;-6;1.99175E-06
-1.00E-07;1.42E-11;17.357695;-6.5;-2.01E-06;17.357695;;;-6.5;2.00745E-06
-1.00E-07;1.92E-11;17.525258;-7;-2.02E-06;17.525258;;;-7;2.02118E-06
-2.00E-07;2.30E-11;17.67513;-7.5;-2.03E-06;17.67513;;;-7.5;2.03388E-06
2.00E-07;2.89E-11;17.824949;-8;-2.05E-06;17.824949;;;-8;2.04545E-06
0;3.19E-11;17.974794;-8.5;-2.06E-06;17.974794;;;-8.5;2.05581E-06
-3.00E-07;3.66E-11;18.125246;-9;-2.07E-06;18.125246;;;-9;2.06611E-06
2.00E-07;4.33E-11;18.275016;-9.5;-2.08E-06;18.275016;;;-9.5;2.07603E-06
