#scan;iMeasureCycle=1;iMux=0;time=0.146;N=482;LocalTime=31/10/2023 12:19:24;;;;;;|IDrain|, |IGate| (A);;;ON/OFF;;IDrain_max;1.70E-06
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2);;;;;;;;IDrain_off_avg;4.27E-10
-38.5;1.59E-10;8.111734;1;-4.33E-10;8.111734;;;0;;;4.33E-10;1.59E-10;;;;;
-38;1.82E-10;8.288121;0.999999;-4.46E-10;8.288121;;;0;;;4.46E-10;1.82E-10;;;;;
-37.5001;1.87E-10;8.464447;1;-4.45E-10;8.464447;;;0;;;4.45E-10;1.87E-10;;;;;
-37.0001;1.96E-10;8.640889;0.999999;-4.47E-10;8.640889;;;0;;;4.47E-10;1.96E-10;;;;;
-36.5001;2.06E-10;8.817184;1;-4.46E-10;8.817184;;;0;;;4.46E-10;2.06E-10;;;;;
-36;2.13E-10;8.994948;0.999999;-4.42E-10;8.994948;;;0;;;4.42E-10;2.13E-10;;;;;
-35.5;2.14E-10;9.171318;0.999999;-4.41E-10;9.171318;;;0;;;4.41E-10;2.14E-10;;;;;
-35;2.28E-10;9.347602;0.999999;-4.46E-10;9.347602;;;0;;;4.46E-10;2.28E-10;;;;;
-34.5;2.22E-10;9.535764;0.999999;-4.32E-10;9.535764;;;0;;;4.32E-10;2.22E-10;;;;;
-34.0001;2.50E-10;9.711982;1;-4.45E-10;9.711982;;;0;;;4.45E-10;2.50E-10;;;;;
-33.5;1.78E-10;9.920106;0.999999;-3.75E-10;9.920106;;;0;;;3.75E-10;1.78E-10;;;;;
-33;2.37E-10;10.096589;0.999999;-4.24E-10;10.096589;;;0;;;4.24E-10;2.37E-10;;;;;
-32.5;2.49E-10;10.272866;1;-4.31E-10;10.272866;;;0;;;4.31E-10;2.49E-10;;;;;
-32;2.55E-10;10.449205;0.999999;-4.32E-10;10.449205;;;0;;;4.32E-10;2.55E-10;;;;;
-31.5001;2.60E-10;10.62556;1;-4.26E-10;10.62556;;;0;;;4.26E-10;2.60E-10;;;;;
-31.0001;2.68E-10;10.80191;0.999999;-4.25E-10;10.80191;;;0;;;4.25E-10;2.68E-10;;;;;
