Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
0.0	1.5422e-05	2.324e-10	-10.0	-2.5	-4.977539361912375e-07
1.0	1.5431e-05	4.9162e-12	-10.0	-2.5	-4.899705972573323e-07
1.5	1.5436e-05	6.7115e-13	-10.0	-2.5	-4.855778725668957e-07
2.0	1.544e-05	2.5475e-12	-10.0	-2.5	-4.821844443941347e-07
2.5	1.5441e-05	2.0623e-12	-10.0	-2.5	-4.817903127390538e-07
3.0	1.5448e-05	2.1136e-12	-10.0	-2.5	-4.753954776016536e-07
3.5	1.5451e-05	1.7548e-12	-10.0	-2.5	-4.7299993898192543e-07
4.0	1.5454e-05	2.0349e-12	-10.0	-2.5	-4.7060369687987756e-07
4.5	1.5455e-05	1.9181e-12	-10.0	-2.5	-4.7020675129550755e-07
5.0	1.546e-05	2.3651e-12	-10.0	-2.5	-4.658091022288158e-07
5.5	1.5463e-05	2.3341e-12	-10.0	-2.5	-4.6341074967980197e-07
6.0	1.5465e-05	2.8002e-12	-10.0	-2.5	-4.620116936484672e-07
6.5	1.5469e-05	3.1185e-12	-10.0	-2.5	-4.586119341348049e-07
7.0	1.5471e-05	3.2175e-12	-10.0	-2.5	-4.572114711388239e-07
7.5	1.5474e-05	2.1422e-12	-10.0	-2.5	-4.5481030466051753e-07
8.0	1.5478e-05	2.5606e-12	-10.0	-2.5	-4.5140843469989266e-07
8.5	1.5479e-05	3.196e-12	-10.0	-2.5	-4.5100586125694785e-07
9.0	1.5483e-05	2.6977e-12	-10.0	-2.5	-4.4760258433167334e-07
9.5	1.5487e-05	3.0816e-12	-10.0	-2.5	-4.441986039240825e-07
10.0	1.5488e-05	3.1865e-12	-10.0	-2.5	-4.437939200341649e-07
10.5	1.5492e-05	3.7575e-12	-10.0	-2.5	-4.403885326619312e-07
11.0	1.5494e-05	3.2449e-12	-10.0	-2.5	-4.389824418073686e-07
11.5	1.5499e-05	4.0078e-12	-10.0	-2.5	-4.3457564747048985e-07
12.0	1.5503e-05	4.0424e-12	-10.0	-2.5	-4.311681496512834e-07
12.5	1.5506e-05	3.7718e-12	-10.0	-2.5	-4.287599483497594e-07
13.0	1.5507e-05	3.6561e-12	-10.0	-2.5	-4.283510435659099e-07
13.5	1.5511e-05	4.0937e-12	-10.0	-2.5	-4.2494143529973744e-07
14.0	1.5516e-05	3.9184e-12	-10.0	-2.5	-4.2053112355124647e-07
14.5	1.5518e-05	4.4215e-12	-10.0	-2.5	-4.191201083204288e-07
15.0	1.5521e-05	3.8517e-12	-10.0	-2.5	-4.1670838960729256e-07
15.5	1.5524e-05	3.618e-12	-10.0	-2.5	-4.142959674118332e-07
16.0	1.5526e-05	4.2713e-12	-10.0	-2.5	-4.1288284173404956e-07
16.5	1.5529e-05	4.2749e-12	-10.0	-2.5	-4.10469012573944e-07
17.0	1.5528e-05	4.3345e-12	-10.0	-2.5	-4.1205447993151727e-07
17.5	1.5532e-05	4.1854e-12	-10.0	-2.5	-4.0863924380677e-07
18.0	1.5536e-05	4.1807e-12	-10.0	-2.5	-4.0522330419969627e-07
18.5	1.5539e-05	3.6704e-12	-10.0	-2.5	-4.028066611103016e-07
19.0	1.5542e-05	4.1485e-12	-10.0	-2.5	-4.0038931453858717e-07
19.5	1.5542e-05	4.642e-12	-10.0	-2.5	-4.0097126448454944e-07
20.0	1.5545e-05	4.3929e-12	-10.0	-2.5	-3.985525109481888e-07
20.5	1.5547e-05	4.2987e-12	-10.0	-2.5	-3.971330539295072e-07
21.0	1.5552e-05	4.487e-12	-10.0	-2.5	-3.927128934285027e-07
21.5	1.5554e-05	4.5347e-12	-10.0	-2.5	-3.9129202944517146e-07
22.0	1.5559e-05	4.096e-12	-10.0	-2.5	-3.868704619795241e-07
22.5	1.5561e-05	4.9531e-12	-10.0	-2.5	-3.854481910315534e-07
23.0	1.5564e-05	4.2701e-12	-10.0	-2.5	-3.830252166012574e-07
23.5	1.5567e-05	4.7123e-12	-10.0	-2.5	-3.806015386886417e-07
24.0	1.5571e-05	4.5371e-12	-10.0	-2.5	-3.7717715729370063e-07
24.5	1.5574e-05	3.9625e-12	-10.0	-2.5	-3.7475207241644204e-07
25.0	1.5576e-05	4.1056e-12	-10.0	-2.5	-3.7332628405685575e-07
25.5	1.5579e-05	4.8518e-12	-10.0	-2.5	-3.708997922149509e-07
26.0	1.5581e-05	5.0235e-12	-10.0	-2.5	-3.6947259689072516e-07
26.5	1.5584e-05	5.0366e-12	-10.0	-2.5	-3.670446980841775e-07
27.0	1.5587e-05	5.0044e-12	-10.0	-2.5	-3.646160957953033e-07
27.5	1.5588e-05	4.9436e-12	-10.0	-2.5	-3.6418679002410696e-07
28.0	1.5592e-05	4.9222e-12	-10.0	-2.5	-3.607567807705911e-07
28.5	1.5595e-05	5.5242e-12	-10.0	-2.5	-3.5832606803475094e-07
29.0	1.5598e-05	5.3036e-12	-10.0	-2.5	-3.5589465181659104e-07
29.5	1.5597e-05	5.0724e-12	-10.0	-2.5	-3.574625321161066e-07
30.0	1.5601e-05	4.7696e-12	-10.0	-2.5	-3.5402970893330167e-07
30.5	1.5602e-05	4.7672e-12	-10.0	-2.5	-3.5359618226817e-07
31.0	1.5605e-05	5.2476e-12	-10.0	-2.5	-3.51161952120721e-07
31.5	1.5607e-05	5.219e-12	-10.0	-2.5	-3.497270184909477e-07
32.0	1.5611e-05	5.0652e-12	-10.0	-2.5	-3.4629138137885364e-07
32.5	1.5612e-05	4.5502e-12	-10.0	-2.5	-3.4585504078443627e-07
33.0	1.5613e-05	5.4121e-12	-10.0	-2.5	-3.454179967076958e-07
33.5	1.5615e-05	5.2643e-12	-10.0	-2.5	-3.4398024914863675e-07
34.0	1.5619e-05	5.3787e-12	-10.0	-2.5	-3.405417981072502e-07
34.5	1.5621e-05	4.797e-12	-10.0	-2.5	-3.3910264358354494e-07
35.0	1.5625e-05	5.0676e-12	-10.0	-2.5	-3.3566278557751555e-07
35.5	1.5627e-05	5.5146e-12	-10.0	-2.5	-3.3422222408916065e-07
36.0	1.5628e-05	5.4729e-12	-10.0	-2.5	-3.337809591184916e-07
36.5	1.5631e-05	5.033e-12	-10.0	-2.5	-3.3133899066549504e-07
37.0	1.5633e-05	5.1105e-12	-10.0	-2.5	-3.2989631873017416e-07
37.5	1.5635e-05	4.8506e-12	-10.0	-2.5	-3.2845294331253693e-07
38.0	1.5638e-05	4.8339e-12	-10.0	-2.5	-3.260088644125744e-07
38.5	1.5639e-05	5.4526e-12	-10.0	-2.5	-3.2556408203028974e-07
39.0	1.5642e-05	5.1224e-12	-10.0	-2.5	-3.2311859616568095e-07
39.5	1.5643e-05	4.8518e-12	-10.0	-2.5	-3.2267240681875344e-07
40.0	1.5646e-05	5.0831e-12	-10.0	-2.5	-3.202255139895018e-07
40.5	1.565e-05	5.2905e-12	-10.0	-2.5	-3.1677791767792824e-07
41.0	1.5652e-05	4.1294e-12	-10.0	-2.5	-3.1532961788403256e-07
41.5	1.5654e-05	5.5933e-12	-10.0	-2.5	-3.1388061460781375e-07
42.0	1.5658e-05	5.6028e-12	-10.0	-2.5	-3.104309078492708e-07
42.5	1.5661e-05	5.0545e-12	-10.0	-2.5	-3.0798049760840697e-07
43.0	1.5664e-05	4.307e-12	-10.0	-2.5	-3.055293838852234e-07
43.5	1.5663e-05	5.0318e-12	-10.0	-2.5	-3.0707756667971867e-07
44.0	1.5667e-05	5.4228e-12	-10.0	-2.5	-3.0362504599188664e-07
44.5	1.5668e-05	4.3857e-12	-10.0	-2.5	-3.031718218217347e-07
45.0	1.5672e-05	5.0545e-12	-10.0	-2.5	-2.997178941692632e-07
45.5	1.5674e-05	4.6611e-12	-10.0	-2.5	-2.982632630344662e-07
46.0	1.5675e-05	5.5015e-12	-10.0	-2.5	-2.978079284173449e-07
46.5	1.5678e-05	5.2023e-12	-10.0	-2.5	-2.9535189031790283e-07
47.0	1.568e-05	5.6064e-12	-10.0	-2.5	-2.9389514873614324e-07
47.5	1.5683e-05	5.2774e-12	-10.0	-2.5	-2.9143770367205833e-07
48.0	1.5684e-05	4.8315e-12	-10.0	-2.5	-2.909795551256479e-07
48.5	1.5686e-05	5.1701e-12	-10.0	-2.5	-2.8952070309691896e-07
49.0	1.5688e-05	5.3036e-12	-10.0	-2.5	-2.880611475858669e-07
49.5	1.5689e-05	4.5478e-12	-10.0	-2.5	-2.876008885924905e-07
50.0	1.5692e-05	5.1308e-12	-10.0	-2.5	-2.8513992611679337e-07
50.5	1.5694e-05	5.2047e-12	-10.0	-2.5	-2.836782601587753e-07
51.0	1.5695e-05	4.5776e-12	-10.0	-2.5	-2.8321589071842956e-07
51.5	1.57e-05	5.5742e-12	-10.0	-2.5	-2.7875281779576885e-07
52.0	1.5701e-05	5.2094e-12	-10.0	-2.5	-2.7828904139078024e-07
52.5	1.5701e-05	5.2845e-12	-10.0	-2.5	-2.788245615034741e-07
53.0	1.5706e-05	4.4632e-12	-10.0	-2.5	-2.74359378133844e-07
53.5	1.5709e-05	5.3644e-12	-10.0	-2.5	-2.7189349128188843e-07
54.0	1.5713e-05	5.7793e-12	-10.0	-2.5	-2.684269009476143e-07
54.5	1.5712e-05	5.2595e-12	-10.0	-2.5	-2.6995960713101786e-07
55.0	1.5714e-05	4.9436e-12	-10.0	-2.5	-2.684916098320985e-07
55.5	1.5715e-05	5.0878e-12	-10.0	-2.5	-2.680229090508548e-07
56.0	1.572e-05	5.306e-12	-10.0	-2.5	-2.635535047872928e-07
56.5	1.5721e-05	4.7946e-12	-10.0	-2.5	-2.6308339704140285e-07
57.0	1.5723e-05	4.7219e-12	-10.0	-2.5	-2.6161258581319777e-07
57.5	1.5725e-05	5.1606e-12	-10.0	-2.5	-2.601410711026662e-07
58.0	1.573e-05	5.4073e-12	-10.0	-2.5	-2.5566885290981167e-07
58.5	1.5732e-05	5.5254e-12	-10.0	-2.5	-2.5419593123463384e-07
59.0	1.5733e-05	5.5182e-12	-10.0	-2.5	-2.5372230607713847e-07
59.5	1.5735e-05	4.8721e-12	-10.0	-2.5	-2.522479774373178e-07
60.0	1.5737e-05	4.7958e-12	-10.0	-2.5	-2.5077294531517736e-07
60.5	1.5737e-05	5.6231e-12	-10.0	-2.5	-2.5129720971071143e-07
61.0	1.5739e-05	5.5337e-12	-10.0	-2.5	-2.4982077062392477e-07
61.5	1.5742e-05	5.1713e-12	-10.0	-2.5	-2.473436280548162e-07
62.0	1.5746e-05	5.3394e-12	-10.0	-2.5	-2.438657820033823e-07
62.5	1.5748e-05	5.0724e-12	-10.0	-2.5	-2.4238723246962964e-07
63.0	1.575e-05	6.156e-12	-10.0	-2.5	-2.409079794535539e-07
63.5	1.5751e-05	5.6589e-12	-10.0	-2.5	-2.404280229551538e-07
64.0	1.5754e-05	5.1498e-12	-10.0	-2.5	-2.37947362974433e-07
64.5	1.5755e-05	6.1715e-12	-10.0	-2.5	-2.3746599951139007e-07
65.0	1.5761e-05	5.0163e-12	-10.0	-2.5	-2.3198393256602322e-07
65.5	1.5762e-05	4.8578e-12	-10.0	-2.5	-2.3150116213833743e-07
66.0	1.5763e-05	4.8792e-12	-10.0	-2.5	-2.3101768822832513e-07
66.5	1.5764e-05	5.4359e-12	-10.0	-2.5	-2.305335108359965e-07
67.0	1.5768e-05	4.5741e-12	-10.0	-2.5	-2.2704862996134154e-07
67.5	1.577e-05	5.4109e-12	-10.0	-2.5	-2.2556304560436446e-07
68.0	1.5773e-05	5.25e-12	-10.0	-2.5	-2.2307675776506546e-07
68.5	1.5774e-05	4.9329e-12	-10.0	-2.5	-2.2258976644344772e-07
69.0	1.5778e-05	5.0271e-12	-10.0	-2.5	-2.1910207163950028e-07
69.5	1.5782e-05	5.5385e-12	-10.0	-2.5	-2.156136733532365e-07
70.0	1.5779e-05	5.4872e-12	-10.0	-2.5	-2.19124571584648e-07
70.5	1.5784e-05	5.2559e-12	-10.0	-2.5	-2.1463476633373579e-07
71.0	1.5785e-05	5.0402e-12	-10.0	-2.5	-2.1414425760050583e-07
71.5	1.5787e-05	5.3001e-12	-10.0	-2.5	-2.1265304538495056e-07
72.0	1.5788e-05	5.4085e-12	-10.0	-2.5	-2.1216112968707436e-07
72.5	1.5788e-05	4.9233e-12	-10.0	-2.5	-2.1266851050687384e-07
73.0	1.5789e-05	5.3942e-12	-10.0	-2.5	-2.121751878443514e-07
73.5	1.5793e-05	5.728e-12	-10.0	-2.5	-2.0868116169950942e-07
74.0	1.5795e-05	6.0988e-12	-10.0	-2.5	-2.0718643207234193e-07
74.5	1.5797e-05	4.8947e-12	-10.0	-2.5	-2.0569099896285131e-07
75.0	1.5797e-05	4.8018e-12	-10.0	-2.5	-2.0619486237104197e-07
75.5	1.5802e-05	5.2691e-12	-10.0	-2.5	-2.016980222969087e-07
76.0	1.5802e-05	5.4598e-12	-10.0	-2.5	-2.022004787404565e-07
76.5	1.5806e-05	5.3871e-12	-10.0	-2.5	-1.9870223170167579e-07
77.0	1.5805e-05	5.12e-12	-10.0	-2.5	-2.0020328118057614e-07
77.5	1.5808e-05	5.3108e-12	-10.0	-2.5	-1.9770362717715478e-07
78.0	1.581e-05	5.5695e-12	-10.0	-2.5	-1.962032696914091e-07
78.5	1.5812e-05	4.9138e-12	-10.0	-2.5	-1.9470220872334367e-07
79.0	1.5813e-05	5.9688e-12	-10.0	-2.5	-1.9420044427295393e-07
79.5	1.5815e-05	5.1415e-12	-10.0	-2.5	-1.9269797634024227e-07
80.0	1.5817e-05	5.0199e-12	-10.0	-2.5	-1.911948049252075e-07
80.5	1.582e-05	5.0414e-12	-10.0	-2.5	-1.8869093002785417e-07
81.0	1.5822e-05	5.3549e-12	-10.0	-2.5	-1.8718635164817653e-07
81.5	1.5823e-05	5.1069e-12	-10.0	-2.5	-1.8668106978617457e-07
82.0	1.5826e-05	5.4908e-12	-10.0	-2.5	-1.8417508444185188e-07
82.5	1.5827e-05	5.8806e-12	-10.0	-2.5	-1.8366839561520707e-07
83.0	1.5828e-05	5.5087e-12	-10.0	-2.5	-1.8316100330623914e-07
83.5	1.5829e-05	5.1439e-12	-10.0	-2.5	-1.8265290751495148e-07
84.0	1.5831e-05	5.5003e-12	-10.0	-2.5	-1.811441082413385e-07
84.5	1.5832e-05	5.0938e-12	-10.0	-2.5	-1.806346054854046e-07
85.0	1.5831e-05	5.0068e-12	-10.0	-2.5	-1.8212439924714856e-07
85.5	1.5832e-05	4.89e-12	-10.0	-2.5	-1.816134895265718e-07
86.0	1.5834e-05	5.0473e-12	-10.0	-2.5	-1.8010187632366972e-07
86.5	1.5834e-05	5.8663e-12	-10.0	-2.5	-1.8058955963844552e-07
87.0	1.5837e-05	5.1808e-12	-10.0	-2.5	-1.7807653947090178e-07
87.5	1.5839e-05	5.3406e-12	-10.0	-2.5	-1.7656281582103712e-07
88.0	1.5839e-05	5.337e-12	-10.0	-2.5	-1.7704838868884694e-07
88.5	1.5843e-05	5.0831e-12	-10.0	-2.5	-1.7353325807433165e-07
89.0	1.5843e-05	5.3942e-12	-10.0	-2.5	-1.7401742397749861e-07
89.5	1.5845e-05	5.2702e-12	-10.0	-2.5	-1.7250088639833808e-07
90.0	1.5846e-05	5.2536e-12	-10.0	-2.5	-1.7198364533686e-07
90.5	1.585e-05	5.3012e-12	-10.0	-2.5	-1.6846570079306238e-07
91.0	1.5851e-05	4.7612e-12	-10.0	-2.5	-1.6794705276693467e-07
91.5	1.5854e-05	5.8794e-12	-10.0	-2.5	-1.6542770125848962e-07
92.0	1.5857e-05	5.1165e-12	-10.0	-2.5	-1.6290764626772144e-07
92.5	1.5858e-05	5.6839e-12	-10.0	-2.5	-1.6238688779463453e-07
93.0	1.5862e-05	5.9032e-12	-10.0	-2.5	-1.5886542583921792e-07
93.5	1.5864e-05	5.3573e-12	-10.0	-2.5	-1.5734326040148597e-07
94.0	1.5864e-05	5.3763e-12	-10.0	-2.5	-1.578203914814285e-07
94.5	1.5868e-05	6.0558e-12	-10.0	-2.5	-1.542968190790459e-07
95.0	1.5868e-05	5.2249e-12	-10.0	-2.5	-1.5477254319434558e-07
95.5	1.5867e-05	5.9521e-12	-10.0	-2.5	-1.5624756382732433e-07
96.0	1.5869e-05	4.9877e-12	-10.0	-2.5	-1.5472188097797677e-07
96.5	1.5873e-05	5.3811e-12	-10.0	-2.5	-1.5119549464630847e-07
97.0	1.5875e-05	5.3585e-12	-10.0	-2.5	-1.4966840483231805e-07
97.5	1.5876e-05	5.765e-12	-10.0	-2.5	-1.491406115360067e-07
