Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	9.4346e-11	4.6042e-10	-10.0	20.0
1.0	4.1929e-11	1.7723e-10	-10.0	19.9
1.5	2.6741e-11	3.1826e-11	-10.0	19.8
2.0	2.1048e-11	1.0155e-11	-10.0	19.7
2.5	1.7784e-11	3.4714e-12	-10.0	19.6
3.0	1.5047e-11	1.297e-11	-10.0	19.5
3.5	1.3063e-11	1.9655e-11	-10.0	19.4
4.0	1.1759e-11	2.5122e-11	-10.0	19.3
4.5	1.049e-11	2.8958e-11	-10.0	19.2
5.0	9.5487e-12	3.2605e-11	-10.0	19.1
5.5	8.8906e-12	3.5665e-11	-10.0	19.0
6.0	8.0383e-12	3.781e-11	-10.0	18.9
6.5	7.54e-12	4.0093e-11	-10.0	18.8
7.0	7.211e-12	4.2082e-11	-10.0	18.7
7.5	6.7318e-12	4.365e-11	-10.0	18.6
8.0	6.1655e-12	4.4544e-11	-10.0	18.5
8.5	5.8818e-12	4.6201e-11	-10.0	18.4
9.0	5.585e-12	4.6881e-11	-10.0	18.3
9.5	5.2106e-12	4.7957e-11	-10.0	18.2
10.0	5.2249e-12	4.897e-11	-10.0	18.1
10.5	4.8828e-12	4.9537e-11	-10.0	18.0
11.0	4.6825e-12	5.0367e-11	-10.0	17.9
11.5	4.6241e-12	5.0256e-11	-10.0	17.8
12.0	4.2367e-12	5.1205e-11	-10.0	17.7
12.5	4.22e-12	5.2025e-11	-10.0	17.6
13.0	3.8397e-12	5.2574e-11	-10.0	17.5
13.5	3.9959e-12	5.3172e-11	-10.0	17.4
14.0	3.8445e-12	5.3419e-11	-10.0	17.3
14.5	3.5965e-12	5.3481e-11	-10.0	17.2
15.0	4.7207e-12	4.662e-11	-10.0	17.1
15.5	1.5974e-13	1.3446e-10	-10.0	17.0
16.0	3.4368e-12	5.5077e-11	-10.0	16.9
16.5	3.2592e-12	5.5549e-11	-10.0	16.8
17.0	3.2151e-12	5.6032e-11	-10.0	16.7
17.5	3.1638e-12	5.6529e-11	-10.0	16.6
18.0	3.1757e-12	5.5991e-11	-10.0	16.5
18.5	3.1865e-12	5.6311e-11	-10.0	16.4
19.0	2.6953e-12	5.6579e-11	-10.0	16.3
19.5	2.7466e-12	5.6851e-11	-10.0	16.2
20.0	2.6202e-12	5.6882e-11	-10.0	16.1
20.5	2.5964e-12	5.6977e-11	-10.0	16.0
21.0	2.6846e-12	5.7401e-11	-10.0	15.9
21.5	2.5439e-12	5.7622e-11	-10.0	15.8
22.0	2.6631e-12	5.7919e-11	-10.0	15.7
22.5	2.4307e-12	5.7907e-11	-10.0	15.6
23.0	2.5082e-12	5.8117e-11	-10.0	15.5
23.5	2.4188e-12	5.8113e-11	-10.0	15.4
24.0	2.3031e-12	5.8175e-11	-10.0	15.3
24.5	2.3293e-12	5.8126e-11	-10.0	15.2
25.0	2.1064e-12	5.8626e-11	-10.0	15.1
25.5	2.1315e-12	5.8877e-11	-10.0	15.0
26.0	2.0671e-12	5.9347e-11	-10.0	14.9
26.5	2.1863e-12	5.9323e-11	-10.0	14.8
27.0	2.0242e-12	5.9416e-11	-10.0	14.7
27.5	2.209e-12	5.9699e-11	-10.0	14.6
28.0	1.7834e-12	5.8991e-11	-10.0	14.5
28.5	2.0027e-12	5.9813e-11	-10.0	14.4
29.0	1.7464e-12	5.9813e-11	-10.0	14.3
29.5	2.1029e-12	6.0178e-11	-10.0	14.2
30.0	2.9206e-12	5.8203e-11	-10.0	14.1
30.5	1.8275e-12	8.226e-11	-10.0	14.0
31.0	3.0398e-13	8.2681e-11	-10.0	13.9
31.5	1.9085e-12	6.0619e-11	-10.0	13.8
32.0	1.6224e-12	6.044e-11	-10.0	13.7
32.5	1.5903e-12	6.0504e-11	-10.0	13.6
33.0	1.9145e-12	6.0983e-11	-10.0	13.5
33.5	1.7512e-12	6.1092e-11	-10.0	13.4
