#scan;iMeasureCycle=1;iMux=0;time=0.149;N=210;LocalTime=20/12/2023 12:59:55;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
4.99999;1.26E-09;0.309157;0;-8.47E-10;0.309157;;;0;8.4744E-10
4.99999;1.51E-09;0.430718;-0.5;-1.25E-09;0.430718;;;-0.5;1.24813E-09
4.99999;1.74E-09;0.551894;-1;-1.56E-09;0.551894;;;-1;1.55649E-09
4.99999;1.89E-09;0.673128;-1.5;-1.74E-09;0.673128;;;-1.5;1.74405E-09
4.99999;2.00E-09;0.794343;-2;-1.86E-09;0.794343;;;-2;1.85607E-09
4.99999;2.03E-09;0.915559;-2.5;-1.89E-09;0.915559;;;-2.5;1.89492E-09
4.99999;2.04E-09;1.036792;-3;-1.92E-09;1.036792;;;-3;1.92163E-09
4.99999;2.07E-09;1.158042;-3.5;-1.93E-09;1.158042;;;-3.5;1.92838E-09
4.99999;2.05E-09;1.279246;-4;-1.93E-09;1.279246;;;-4;1.93329E-09
4.99999;2.05E-09;1.400443;-4.5;-1.94E-09;1.400443;;;-4.5;1.94283E-09
4.99999;2.05E-09;1.521689;-5;-1.94E-09;1.521689;;;-5;1.93886E-09
4.99999;2.05E-09;1.642862;-5.5;-1.94E-09;1.642862;;;-5.5;1.93855E-09
4.99999;1.85E-09;1.791585;-6;-1.75E-09;1.791585;;;-6;1.74618E-09
4.99999;1.94E-09;1.912785;-6.5;-1.83E-09;1.912785;;;-6.5;1.8311E-09
4.99999;1.95E-09;2.034007;-7;-1.88E-09;2.034007;;;-7;1.87554E-09
5;1.86E-09;2.1827;-7.5;-1.71E-09;2.1827;;;-7.5;1.71262E-09
4.99999;1.92E-09;2.30387;-8;-1.81E-09;2.30387;;;-8;1.81184E-09
4.99999;1.96E-09;2.425066;-8.5;-1.86E-09;2.425066;;;-8.5;1.8593E-09
4.99999;1.99E-09;2.546315;-9;-1.89E-09;2.546315;;;-9;1.89082E-09
4.99999;2.00E-09;2.667573;-9.5;-1.90E-09;2.667573;;;-9.5;1.9035E-09
4.99999;1.81E-09;2.816182;-10;-1.71E-09;2.816182;;;-10;1.71339E-09
4.99999;1.22E-09;2.961825;-10;-1.13E-09;2.961825;;;-10;1.12767E-09
4.99999;5.26E-10;3.082975;-9.50001;-4.28E-10;3.082975;;;-9.50001;4.2764E-10
4.99999;2.43E-10;3.204231;-9.00001;-1.45E-10;3.204231;;;-9.00001;1.4451E-10
4.99999;1.34E-10;3.325406;-8.50001;-3.41E-11;3.325406;;;-8.50001;3.408E-11
4.99999;9.95E-11;3.463817;-8.00001;-1.54E-12;3.463817;;;-8.00001;1.54E-12
4.99999;7.32E-11;3.584976;-7.50001;2.70E-11;3.584976;;;-7.50001;2.695E-11
4.99999;3.94E-11;3.706183;-7.00001;6.09E-11;3.706183;;;-7.00001;6.085E-11
4.99999;2.15E-12;3.827396;-6.50001;9.96E-11;3.827396;;;-6.50001;9.959E-11
4.99999;-4.09E-11;3.96481;-6.00001;1.41E-10;3.96481;;;-6.00001;1.4137E-10
4.99999;-8.96E-11;4.085978;-5.50001;1.88E-10;4.085978;;;-5.50001;1.8788E-10
4.99999;-1.33E-10;4.207235;-5.00001;2.33E-10;4.207235;;;-5.00001;2.3333E-10
4.99999;-1.83E-10;4.328446;-4.50001;2.82E-10;4.328446;;;-4.50001;2.8181E-10
