#scan;iMeasureCycle=1;iMux=0;time=0.142;N=482;LocalTime=27/10/2023 11:37:02;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2)
-60;-7.09E-09;0.302778;1;2.07E-11;0.302778;;;4.54973E-06
-59.5;-6.21E-09;0.479695;1;1.47E-11;0.479695;;;3.83406E-06
-59;-5.62E-09;0.656375;0.999999;1.14E-11;0.656375;;;3.37639E-06
-58.5001;-5.15E-09;0.850284;1;9.19E-12;0.850284;;;3.0315E-06
-58;-4.81E-09;1.027068;0.999999;7.26E-12;1.027068;;;2.69444E-06
-57.5;-4.53E-09;1.203699;0.999999;6.67E-12;1.203699;;;2.58263E-06
-57;-4.28E-09;1.411183;1;6.00E-12;1.411183;;;2.44949E-06
-56.5001;-4.08E-09;1.587751;1;5.97E-12;1.587751;;;2.44336E-06
-56.0001;-3.90E-09;1.764368;0.999999;3.25E-12;1.764368;;;1.80278E-06
-55.5001;-3.74E-09;1.940913;1;5.50E-13;1.940913;;;7.4162E-07
-55.0001;-3.60E-09;2.117545;1;1.29E-12;2.117545;;;1.13578E-06
-54.5001;-3.48E-09;2.294287;1;4.10E-12;2.294287;;;2.02485E-06
-54.0001;-3.35E-09;2.470952;0.999999;1.90E-12;2.470952;;;1.3784E-06
-53.5;-3.25E-09;2.647549;0.999999;1.35E-12;2.647549;;;1.1619E-06
-53;-3.15E-09;2.82414;1;1.73E-12;2.82414;;;1.31529E-06
-52.5001;-3.05E-09;3.012815;0.999999;3.60E-13;3.012815;;;0.0000006
-52;-2.95E-09;3.189511;0.999999;-2.00E-14;3.189511;;;0
-51.5001;-2.88E-09;3.395853;1;1.02E-12;3.395853;;;1.00995E-06
-51;-2.80E-09;3.572462;0.999999;1.12E-12;3.572462;;;1.0583E-06
-50.5001;-2.72E-09;3.749066;0.999999;1.12E-12;3.749066;;;1.0583E-06
-50.0001;-2.64E-09;3.925606;1.000001;-1.60E-13;3.925606;;;0
-49.5;-2.57E-09;4.102337;0.999999;-8.70E-13;4.102337;;;0
-49;-2.50E-09;4.278851;1.000001;1.31E-12;4.278851;;;1.14455E-06
-48.5;-2.44E-09;4.456924;0.999999;1.80E-13;4.456924;;;4.24264E-07
-48;-2.37E-09;4.633508;0.999999;-2.27E-12;4.633508;;;0
-47.5001;-2.31E-09;4.809993;1;-6.90E-13;4.809993;;;0
-47;-2.26E-09;4.988391;1;1.30E-12;4.988391;;;1.14018E-06
-46.5001;-2.19E-09;5.16483;1;-3.40E-13;5.16483;;;0
-46.0001;-2.14E-09;5.365264;0.999999;-3.22E-12;5.365264;;;0
-45.5001;-2.09E-09;5.54185;1;1.92E-12;5.54185;;;1.38564E-06
-45;-2.03E-09;5.718246;0.999999;-7.50E-13;5.718246;;;0
-44.5;-2.01E-09;5.930025;1;3.25E-12;5.930025;;;1.80278E-06
-44;-1.94E-09;6.106549;1;-1.29E-12;6.106549;;;0
-43.5;-1.89E-09;6.283097;1;4.50E-13;6.283097;;;6.7082E-07
-43.0001;-1.84E-09;6.459658;0.999999;7.00E-14;6.459658;;;2.64575E-07
-42.5;-1.78E-09;6.636311;0.999999;-2.87E-12;6.636311;;;0
-42;-1.75E-09;6.81271;0.999999;2.54E-12;6.81271;;;1.59374E-06
-41.5001;-1.70E-09;6.990975;0.999999;-1.32E-12;6.990975;;;0
-41.0001;-1.65E-09;7.167441;0.999999;-3.53E-12;7.167441;;;0
-40.5001;-1.61E-09;7.344141;0.999999;-2.83E-12;7.344141;;;0
-40.0001;-1.57E-09;7.527455;0.999999;-1.00E-14;7.527455;;;0
-39.5;-1.52E-09;7.70385;0.999999;-3.75E-12;7.70385;;;0
-39.0001;-1.49E-09;7.906338;0.999999;-1.91E-12;7.906338;;;0
-38.5001;-1.45E-09;8.082835;0.999999;1.04E-12;8.082835;;;1.0198E-06
-38;-1.40E-09;8.259439;1.000001;-1.17E-12;8.259439;;;0
-37.5001;-1.36E-09;8.440705;1;-4.31E-12;8.440705;;;0
-37.0001;-1.33E-09;8.617002;0.999999;1.70E-12;8.617002;;;1.30384E-06
-36.5;-1.28E-09;8.79341;0.999999;-2.02E-12;8.79341;;;0
-36;-1.25E-09;8.971914;0.999999;-1.20E-13;8.971914;;;0
-35.5;-1.21E-09;9.148239;1;-1.07E-12;9.148239;;;0
-35.0001;-1.17E-09;9.324606;0.999999;-9.70E-13;9.324606;;;0
-34.5;-1.14E-09;9.502673;0.999999;-4.90E-13;9.502673;;;0
-34.0001;-1.10E-09;9.679159;1;-1.18E-12;9.679159;;;0
-33.5;-1.08E-09;9.879244;0.999999;-1.26E-12;9.879244;;;0
-33;-1.04E-09;10.055664;0.999999;-5.50E-13;10.055664;;;0
-32.5001;-9.99E-10;10.231927;0.999999;-1.01E-12;10.231927;;;0
-32;-9.78E-10;10.444235;0.999999;-3.05E-12;10.444235;;;0
-31.5;-9.38E-10;10.620522;1;-1.57E-12;10.620522;;;0
-31;-8.97E-10;10.796811;0.999999;-2.52E-12;10.796811;;;0
-30.5;-8.72E-10;10.973235;1;1.51E-12;10.973235;;;1.22882E-06
-30;-8.25E-10;11.149611;0.999999;-3.23E-12;11.149611;;;0
-29.5;-7.95E-10;11.326105;1;-1.98E-12;11.326105;;;0
-29.0001;-7.66E-10;11.504655;0.999999;-2.24E-12;11.504655;;;0
