#scan;iMeasureCycle=1;iMux=0;time=0.147;N=482;LocalTime=31/10/2023 11:25:35;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;Idrain^1/2(A^1/2)
-31;-1.16E-09;59.091993;1;9.43E-11;59.091993;;9.71082E-06
-31.5;-1.00E-09;59.240733;1;4.33E-11;59.240733;;6.58027E-06
-32;-1.02E-09;59.389578;1;3.99E-11;59.389578;;6.31664E-06
-32.5001;-1.04E-09;59.54763;1;4.24E-11;59.54763;;6.51153E-06
-33;-1.22E-09;59.668839;1.000001;9.52E-11;59.668839;;9.75705E-06
-33.5;-1.11E-09;59.817798;1;5.32E-11;59.817798;;7.29383E-06
-34.0001;-1.09E-09;59.966627;1;3.94E-11;59.966627;;6.27694E-06
-34.5;-1.29E-09;60.094863;1.000001;8.79E-11;60.094863;;9.3755E-06
-35;-1.15E-09;60.243691;1.000001;3.49E-11;60.243691;;5.90762E-06
-35.5;-1.16E-09;60.392581;1.000001;4.45E-11;60.392581;;6.67083E-06
-36;-1.17E-09;60.541425;1;4.57E-11;60.541425;;6.76018E-06
-36.5;-1.18E-09;60.690314;1;4.37E-11;60.690314;;6.6106E-06
-37.0001;-1.20E-09;60.839176;1;4.83E-11;60.839176;;6.94982E-06
-37.5001;-1.11E-09;61.026479;1;2.67E-11;61.026479;;5.1672E-06
-38.0001;-1.16E-09;61.175336;1;4.17E-11;61.175336;;6.45755E-06
-38.5001;-1.17E-09;61.324207;1;4.39E-11;61.324207;;6.62571E-06
-39;-1.11E-09;61.49669;1;2.23E-11;61.49669;;4.72229E-06
-39.5001;-1.19E-09;61.645702;1;3.84E-11;61.645702;;6.19677E-06
-40;-1.17E-09;61.794707;1;3.91E-11;61.794707;;6.253E-06
-40.5;-1.17E-09;61.943767;1.000001;4.25E-11;61.943767;;6.5192E-06
-41.0001;-1.18E-09;62.092716;1.000001;4.72E-11;62.092716;;6.87023E-06
-41.5;-1.19E-09;62.241718;1;4.98E-11;62.241718;;7.05691E-06
-42;-1.18E-09;62.390754;1;4.31E-11;62.390754;;6.56506E-06
-42.5001;-1.18E-09;62.542492;1;4.15E-11;62.542492;;6.44205E-06
-43.0001;-1.21E-09;62.691547;1;4.21E-11;62.691547;;6.48845E-06
-43.5001;-1.22E-09;62.840606;1;4.60E-11;62.840606;;6.78233E-06
-44;-1.14E-09;63.012462;1;1.70E-11;63.012462;;4.12311E-06
-44.5001;-1.20E-09;63.161542;1.000001;4.02E-11;63.161542;;6.34035E-06
-45.0001;-1.22E-09;63.310498;1.000001;4.95E-11;63.310498;;7.03562E-06
-45.5001;-1.22E-09;63.459644;1;4.33E-11;63.459644;;6.58027E-06
-46;-1.23E-09;63.630688;1;3.70E-11;63.630688;;6.08276E-06
-46.5;-1.27E-09;63.779736;1;4.88E-11;63.779736;;6.9857E-06
-47;-1.23E-09;63.92874;1.000001;3.44E-11;63.92874;;5.86515E-06
-47.5;-1.26E-09;64.077822;1;4.19E-11;64.077822;;6.47302E-06
-48.0001;-1.27E-09;64.226836;1.000001;4.03E-11;64.226836;;6.34823E-06
-48.5001;-1.30E-09;64.375954;1.000001;5.12E-11;64.375954;;7.15542E-06
-49;-1.25E-09;64.542771;1;2.97E-11;64.542771;;5.44977E-06
-49.5001;-1.30E-09;64.691776;1;4.16E-11;64.691776;;6.44981E-06
-50.0001;-1.28E-09;64.840851;1;3.98E-11;64.840851;;6.30872E-06
-50.5;-1.26E-09;65.006471;1;2.86E-11;65.006471;;5.3479E-06
-51;-1.33E-09;65.15571;1;2.86E-11;65.15571;;5.3479E-06
-51.5;-1.33E-09;65.30471;1;4.18E-11;65.30471;;6.46529E-06
-52;-1.35E-09;65.453788;1;2.79E-11;65.453788;;5.28205E-06
-52.5001;-1.37E-09;65.602849;1;4.41E-11;65.602849;;6.64078E-06
-53;-1.41E-09;65.752042;1;4.08E-11;65.752042;;6.38749E-06
-53.5;-1.39E-09;65.901112;1.000001;4.30E-11;65.901112;;6.55744E-06
-54.0001;-1.41E-09;66.05244;1;4.04E-11;66.05244;;6.3561E-06
-54.5001;-1.46E-09;66.201493;1.000001;4.87E-11;66.201493;;6.97854E-06
-55.0001;-1.48E-09;66.350517;1;4.19E-11;66.350517;;6.47302E-06
-55.5;-1.49E-09;66.526882;1;2.35E-11;66.526882;;4.84768E-06
-56;-1.48E-09;66.676015;1;3.45E-11;66.676015;;5.87367E-06
-56.5;-1.53E-09;66.825131;1;4.93E-11;66.825131;;7.0214E-06
-57;-1.52E-09;66.97421;1;4.24E-11;66.97421;;6.51153E-06
-57.5;-1.48E-09;67.140594;1;5.15E-11;67.140594;;7.17635E-06
-58;-1.48E-09;67.289659;1;4.46E-11;67.289659;;6.67832E-06
-58.5;-1.49E-09;67.438792;1;3.72E-11;67.438792;;6.09918E-06
-59.0001;-1.47E-09;67.587962;1;3.85E-11;67.587962;;6.20484E-06
-59.5001;-1.46E-09;67.737066;1;4.11E-11;67.737066;;6.41093E-06
-60.0001;-1.46E-09;67.886494;1.000001;4.00E-11;67.886494;;6.32456E-06
