#scan;iMeasureCycle=1;iMux=0;time=0.132;N=202;LocalTime=20/12/2023 12:05:47;;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);;|IDrain|^1/2 (A^1/2);;;IDS_off_avg
5;7.81E-10;0.292346;-10;-1.03E-09;0.292346;;;5;1.03E-09;7.81E-10;;3.22E-05;;;1.03453E-09
4.89999;6.60E-10;0.468862;-10;-1.18E-09;0.468862;;;4.89999;1.18E-09;6.60E-10;;3.43E-05;;;IDS_max
4.79999;6.06E-10;0.64501;-10.00001;-1.40E-09;0.64501;;;4.79999;1.40E-09;6.06E-10;;3.74E-05;;;2.92E-05
4.7;5.72E-10;0.840048;-10.00001;-1.66E-09;0.840048;;;4.7;1.66E-09;5.72E-10;;4.08E-05;;;
4.59999;5.56E-10;1.016115;-10;-1.97E-09;1.016115;;;4.59999;1.97E-09;5.56E-10;;4.44E-05;;;ON/OFF
4.5;5.40E-10;1.192111;-10.00001;-2.36E-09;1.192111;;;4.5;2.36E-09;5.40E-10;;4.86E-05;;;2.82E+04
4.4;5.31E-10;1.400825;-10;-2.77E-09;1.400825;;;4.4;2.77E-09;5.31E-10;;5.27E-05;;;
4.29999;5.21E-10;1.577097;-10.00001;-3.25E-09;1.577097;;;4.29999;3.25E-09;5.21E-10;;5.70E-05;;;
4.2;5.19E-10;1.725786;-10.00001;-3.76E-09;1.725786;;;4.2;3.76E-09;5.19E-10;;6.13E-05;;;
4.1;5.11E-10;1.878574;-10.00001;-4.36E-09;1.878574;;;4.1;4.36E-09;5.11E-10;;6.60E-05;;;
4;5.05E-10;2.02715;-10.00001;-5.02E-09;2.02715;;;4;5.02E-09;5.05E-10;;7.09E-05;;;
3.89999;5.06E-10;2.203212;-10.00001;-5.73E-09;2.203212;;;3.89999;5.73E-09;5.06E-10;;7.57E-05;;;
3.79999;4.97E-10;2.379331;-10.00001;-6.55E-09;2.379331;;;3.79999;6.55E-09;4.97E-10;;8.10E-05;;;
3.7;4.96E-10;2.527945;-10.00001;-7.42E-09;2.527945;;;3.7;7.42E-09;4.96E-10;;8.61E-05;;;
3.6;4.89E-10;2.704037;-10;-8.36E-09;2.704037;;;3.6;8.36E-09;4.89E-10;;9.14E-05;;;
3.49999;4.88E-10;2.884858;-10;-9.38E-09;2.884858;;;3.49999;9.38E-09;4.88E-10;;9.69E-05;;;
3.4;4.86E-10;3.054999;-10.00001;-1.05E-08;3.054999;;;3.4;1.05E-08;4.86E-10;;0.000102539;;;
3.29999;4.81E-10;3.204894;-10.00001;-1.17E-08;3.204894;;;3.29999;1.17E-08;4.81E-10;;0.000108223;;;
3.19999;4.78E-10;3.387558;-10.00001;-1.30E-08;3.387558;;;3.19999;1.30E-08;4.78E-10;;0.000113804;;;
3.09999;4.73E-10;3.537418;-10.00001;-1.43E-08;3.537418;;;3.09999;1.43E-08;4.73E-10;;0.000119662;;;
3.00001;4.69E-10;3.687265;-10.00001;-1.59E-08;3.687265;;;3.00001;1.59E-08;4.69E-10;;0.000125946;;;
2.9;4.69E-10;3.858912;-10.00001;-1.75E-08;3.858912;;;2.9;1.75E-08;4.69E-10;;0.000132379;;;
2.8;4.66E-10;4.008761;-10.00001;-1.92E-08;4.008761;;;2.8;1.92E-08;4.66E-10;;0.000138499;;;
2.69999;4.65E-10;4.158759;-10.00001;-2.11E-08;4.158759;;;2.69999;2.11E-08;4.65E-10;;0.000145174;;;
2.59999;4.61E-10;4.308607;-10.00001;-2.31E-08;4.308607;;;2.59999;2.31E-08;4.61E-10;;0.000151835;;;
2.49999;4.61E-10;4.479931;-10.00001;-2.51E-08;4.479931;;;2.49999;2.51E-08;4.61E-10;;0.000158578;;;
2.39999;4.57E-10;4.629724;-10.00001;-2.73E-08;4.629724;;;2.39999;2.73E-08;4.57E-10;;0.000165238;;;
2.3;4.56E-10;4.779656;-10.00001;-2.97E-08;4.779656;;;2.3;2.97E-08;4.56E-10;;0.000172413;;;
2.19999;4.57E-10;4.929588;-10.00001;-3.22E-08;4.929588;;;2.19999;3.22E-08;4.57E-10;;0.000179495;;;
2.09999;4.54E-10;5.079438;-10.00001;-3.48E-08;5.079438;;;2.09999;3.48E-08;4.54E-10;;0.000186619;;;
2;4.51E-10;5.229384;-10.00001;-3.77E-08;5.229384;;;2;3.77E-08;4.51E-10;;0.000194115;;;
1.9;4.50E-10;5.388563;-10.00001;-4.06E-08;5.388563;;;1.9;4.06E-08;4.50E-10;;0.000201376;;;
1.8;4.48E-10;5.538476;-10.00001;-4.35E-08;5.538476;;;1.8;4.35E-08;4.48E-10;;0.000208656;;;
1.7;4.45E-10;5.688289;-10.00001;-4.68E-08;5.688289;;;1.7;4.68E-08;4.45E-10;;0.000216348;;;
1.59999;4.45E-10;5.862195;-10.00001;-5.02E-08;5.862195;;;1.59999;5.02E-08;4.45E-10;;0.000224034;;;
1.5;4.41E-10;6.012111;-10.00001;-5.40E-08;6.012111;;;1.5;5.40E-08;4.41E-10;;0.000232364;;;
1.39999;4.40E-10;6.162006;-10.00001;-5.79E-08;6.162006;;;1.39999;5.79E-08;4.40E-10;;0.000240557;;;
