#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 12:02:21;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;VDrain (V);|IDrain| (A)
2.49999;4.10E-10;11.289229;-10;-2.73E-08;11.289229;;;;-10;2.72515E-08
2.49999;4.09E-10;11.411581;-10;-2.72E-08;11.411581;;;;-10;2.71691E-08
2.5;4.07E-10;11.561387;-9.50001;-2.68E-08;11.561387;;;;-9.50001;2.68191E-08
2.49999;4.05E-10;11.711148;-9.00001;-2.66E-08;11.711148;;;;-9.00001;2.65686E-08
2.5;4.09E-10;11.893089;-8.50001;-2.62E-08;11.893089;;;;-8.50001;2.62282E-08
2.5;4.06E-10;12.042932;-8.00001;-2.59E-08;12.042932;;;;-8.00001;2.59203E-08
2.5;4.07E-10;12.192718;-7.50001;-2.55E-08;12.192718;;;;-7.50001;2.55369E-08
2.49999;4.05E-10;12.342602;-7.00001;-2.52E-08;12.342602;;;;-7.00001;2.51521E-08
2.49999;4.03E-10;12.4988;-6.50001;-2.48E-08;12.4988;;;;-6.50001;2.4788E-08
2.49999;4.02E-10;12.648616;-6.00001;-2.44E-08;12.648616;;;;-6.00001;2.43576E-08
2.5;4.01E-10;12.79862;-5.50001;-2.39E-08;12.79862;;;;-5.50001;2.3903E-08
2.49999;4.02E-10;12.948455;-5.00001;-2.34E-08;12.948455;;;;-5.00001;2.34333E-08
2.49999;4.02E-10;13.098337;-4.50001;-2.28E-08;13.098337;;;;-4.50001;2.28057E-08
2.49999;4.01E-10;13.248089;-4.00001;-2.23E-08;13.248089;;;;-4.00001;2.22599E-08
2.49999;4.02E-10;13.412711;-3.50001;-2.15E-08;13.412711;;;;-3.50001;2.14942E-08
2.49999;4.01E-10;13.562578;-3.00001;-2.05E-08;13.562578;;;;-3.00001;2.05217E-08
2.49999;4.00E-10;13.712384;-2.50001;-1.94E-08;13.712384;;;;-2.50001;1.9404E-08
2.49999;3.99E-10;13.883939;-2.00001;-1.77E-08;13.883939;;;;-2.00001;1.76998E-08
2.49999;3.97E-10;14.033865;-1.50001;-1.55E-08;14.033865;;;;-1.50001;1.5514E-08
2.5;3.98E-10;14.18362;-1.00001;-1.22E-08;14.18362;;;;-1.00001;1.22475E-08
2.5;3.98E-10;14.348324;-0.5;-7.32E-09;14.348324;;;;-0.5;7.31718E-09
2.5;3.97E-10;14.530148;-1.00E-05;-2.11E-10;14.530148;;;;-1.00E-05;2.1145E-10
-3.00E-07;-3.55E-10;14.70609;-1.00E-05;1.61E-09;14.70609;;;;-1.00E-05;1.60564E-09
1.00E-06;2.05E-10;14.897558;-0.5;-6.19E-07;14.897558;;;;-0.5;6.19252E-07
7.00E-07;4.17E-10;15.053243;-1;-7.55E-07;15.053243;;;;-1;7.54888E-07
6.00E-07;2.58E-10;15.208895;-1.5;-8.01E-07;15.208895;;;;-1.5;8.00967E-07
6.00E-07;1.88E-10;15.39915;-2;-8.27E-07;15.39915;;;;-2;8.27156E-07
3.00E-07;1.68E-10;15.554868;-2.5;-8.44E-07;15.554868;;;;-2.5;8.44072E-07
6.00E-07;1.60E-10;15.71051;-3;-8.56E-07;15.71051;;;;-3;8.56123E-07
4.00E-07;1.53E-10;15.893206;-3.5;-8.65E-07;15.893206;;;;-3.5;8.65003E-07
6.00E-07;1.53E-10;16.048995;-4;-8.72E-07;16.048995;;;;-4;8.71743E-07
2.00E-07;1.52E-10;16.202112;-4.5;-8.78E-07;16.202112;;;;-4.5;8.778E-07
-1.00E-07;1.53E-10;16.351951;-5;-8.83E-07;16.351951;;;;-5;8.8325E-07
-1.00E-07;1.54E-10;16.509255;-5.5;-8.87E-07;16.509255;;;;-5.5;8.8722E-07
-3.00E-07;1.53E-10;16.659088;-6;-8.91E-07;16.659088;;;;-6;8.9082E-07
1.00E-07;1.54E-10;16.809052;-6.5;-8.94E-07;16.809052;;;;-6.5;8.9403E-07
2.00E-07;1.56E-10;16.958861;-7;-8.98E-07;16.958861;;;;-7;8.976E-07
1.00E-07;1.58E-10;17.109293;-7.5;-9.01E-07;17.109293;;;;-7.5;9.0084E-07
-1.00E-07;1.58E-10;17.259061;-8;-9.04E-07;17.259061;;;;-8;9.0425E-07
-2.00E-07;1.60E-10;17.423286;-8.5;-9.07E-07;17.423286;;;;-8.5;9.0704E-07
-2.00E-07;1.61E-10;17.573157;-9;-9.11E-07;17.573157;;;;-9;9.105E-07
-2.00E-07;1.65E-10;17.722892;-9.5;-9.13E-07;17.722892;;;;-9.5;9.133E-07
0;1.61E-10;17.898726;-10;-9.16E-07;17.898726;;;;-10;9.1621E-07
0;1.65E-10;18.021136;-10;-9.16E-07;18.021136;;;;-10;9.1579E-07
1.00E-07;1.61E-10;18.170881;-9.5;-9.12E-07;18.170881;;;;-9.5;9.1243E-07
0;1.60E-10;18.320755;-9;-9.09E-07;18.320755;;;;-9;9.0919E-07
-3.00E-07;1.60E-10;18.470634;-8.5;-9.06E-07;18.470634;;;;-8.5;9.0588E-07
1.00E-07;1.63E-10;18.620453;-8;-9.02E-07;18.620453;;;;-8;9.0216E-07
0;1.62E-10;18.770294;-7.5;-8.99E-07;18.770294;;;;-7.5;8.9864E-07
0;1.62E-10;18.923688;-7;-8.95E-07;18.923688;;;;-7;8.9463E-07
-2.00E-07;1.62E-10;19.073492;-6.5;-8.90E-07;19.073492;;;;-6.5;8.9046E-07
-1.00E-07;1.64E-10;19.223298;-6;-8.86E-07;19.223298;;;;-6;8.8578E-07
0;1.64E-10;19.402569;-5.5;-8.81E-07;19.402569;;;;-5.5;8.8106E-07
1.00E-07;1.66E-10;19.552449;-5;-8.76E-07;19.552449;;;;-5;8.7613E-07
-1.00E-07;1.64E-10;19.702375;-4.5;-8.70E-07;19.702375;;;;-4.5;8.7004E-07
-2.00E-07;1.66E-10;19.852212;-4;-8.64E-07;19.852212;;;;-4;8.6381E-07
4.00E-07;1.68E-10;20.020963;-3.5;-8.56E-07;20.020963;;;;-3.5;8.55576E-07
-2.00E-07;1.66E-10;20.170741;-3;-8.46E-07;20.170741;;;;-3;8.45708E-07
2.00E-07;1.67E-10;20.320679;-2.5;-8.33E-07;20.320679;;;;-2.5;8.33472E-07
-1.00E-07;1.68E-10;20.470547;-2;-8.16E-07;20.470547;;;;-2;8.16365E-07
0;1.68E-10;20.620317;-1.5;-7.91E-07;20.620317;;;;-1.5;7.90843E-07
-3.00E-07;1.50E-10;20.770121;-1;-7.46E-07;20.770121;;;;-1;7.46141E-07
-3.00E-07;-4.19E-11;20.933032;-0.5;-6.13E-07;20.933032;;;;-0.5;6.13261E-07
-2.00E-07;-2.08E-10;21.095827;-1.00E-05;1.59E-09;21.095827;;;;-1.00E-05;1.58667E-09
-2.50001;-7.77E-09;21.271809;-1.00E-05;8.54E-09;21.271809;;;;-1.00E-05;8.54179E-09
