Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.8284e-09	5.734e-09	-10.0	20.0
1.0	9.1371e-10	2.06e-09	-10.0	19.9
1.5	6.8421e-10	1.5536e-09	-10.0	19.8
2.0	5.5095e-10	1.2759e-09	-10.0	19.7
2.5	4.6133e-10	1.0954e-09	-10.0	19.6
3.0	3.9651e-10	9.6848e-10	-10.0	19.5
3.5	3.4708e-10	8.7126e-10	-10.0	19.4
4.0	3.0859e-10	7.9908e-10	-10.0	19.3
4.5	2.789e-10	7.4272e-10	-10.0	19.2
5.0	2.5529e-10	6.9569e-10	-10.0	19.1
5.5	2.3737e-10	6.5683e-10	-10.0	19.0
6.0	2.203e-10	6.2562e-10	-10.0	18.9
6.5	2.0778e-10	5.9892e-10	-10.0	18.8
7.0	1.9603e-10	5.7467e-10	-10.0	18.7
7.5	1.8561e-10	5.5513e-10	-10.0	18.6
8.0	1.7734e-10	5.3722e-10	-10.0	18.5
8.5	1.6954e-10	5.2241e-10	-10.0	18.4
9.0	1.6271e-10	5.0729e-10	-10.0	18.3
9.5	1.5748e-10	4.9502e-10	-10.0	18.2
10.0	1.5224e-10	4.8368e-10	-10.0	18.1
10.5	1.4672e-10	4.7316e-10	-10.0	18.0
11.0	1.43e-10	4.6354e-10	-10.0	17.9
11.5	1.388e-10	4.5518e-10	-10.0	17.8
12.0	1.3507e-10	4.4699e-10	-10.0	17.7
12.5	1.3197e-10	4.3957e-10	-10.0	17.6
13.0	1.287e-10	4.3222e-10	-10.0	17.5
13.5	1.2589e-10	4.2725e-10	-10.0	17.4
14.0	1.2336e-10	4.2032e-10	-10.0	17.3
14.5	1.2117e-10	4.1453e-10	-10.0	17.2
15.0	1.2075e-10	4.202e-10	-10.0	17.1
15.5	1.1052e-10	2.5314e-10	-10.0	17.0
16.0	1.1471e-10	3.9633e-10	-10.0	16.9
16.5	1.137e-10	3.9233e-10	-10.0	16.8
17.0	1.1193e-10	3.881e-10	-10.0	16.7
17.5	1.094e-10	3.8077e-10	-10.0	16.6
18.0	1.0775e-10	3.751e-10	-10.0	16.5
18.5	1.0694e-10	3.7099e-10	-10.0	16.4
19.0	1.0532e-10	3.6461e-10	-10.0	16.3
19.5	1.0428e-10	3.6007e-10	-10.0	16.2
20.0	1.0302e-10	3.5134e-10	-10.0	16.1
20.5	1.0232e-10	3.4555e-10	-10.0	16.0
21.0	1.0096e-10	3.3703e-10	-10.0	15.9
21.5	1.0002e-10	3.2682e-10	-10.0	15.8
22.0	9.8871e-11	3.1236e-10	-10.0	15.7
22.5	9.7835e-11	2.9545e-10	-10.0	15.6
23.0	9.7567e-11	2.7533e-10	-10.0	15.5
23.5	9.7198e-11	2.5286e-10	-10.0	15.4
24.0	9.6799e-11	2.2484e-10	-10.0	15.3
24.5	1.0013e-10	1.938e-10	-10.0	15.2
25.0	1.0941e-10	1.6413e-10	-10.0	15.1
25.5	1.2747e-10	1.3603e-10	-10.0	15.0
26.0	1.5867e-10	1.1334e-10	-10.0	14.9
26.5	2.0132e-10	9.4546e-11	-10.0	14.8
27.0	2.5535e-10	7.5707e-11	-10.0	14.7
27.5	3.2233e-10	5.2775e-11	-10.0	14.6
28.0	4.1177e-10	3.3091e-11	-10.0	14.5
28.5	5.1915e-10	1.1355e-11	-10.0	14.4
29.0	6.3452e-10	1.1889e-11	-10.0	14.3
29.5	7.7165e-10	3.0969e-11	-10.0	14.2
30.0	9.3904e-10	3.6355e-11	-10.0	14.1
30.5	1.1277e-09	1.1514e-10	-10.0	14.0
31.0	1.3476e-09	1.2298e-10	-10.0	13.9
