Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
0.0	1.196e-05	1.5713e-09	-10.0	-2.5	1.7758964285715765e-07
1.0	1.1955e-05	1.4884e-09	-10.0	-2.5	1.7071805555556877e-07
1.5	1.1955e-05	1.4437e-09	-10.0	-2.5	1.6978285714287033e-07
2.0	1.1954e-05	1.418e-09	-10.0	-2.5	1.678480555555696e-07
2.5	1.1955e-05	1.3985e-09	-10.0	-2.5	1.6791365079366466e-07
3.0	1.1952e-05	1.3822e-09	-10.0	-2.5	1.6397964285715763e-07
3.5	1.1953e-05	1.3647e-09	-10.0	-2.5	1.640460317460457e-07
4.0	1.1951e-05	1.3516e-09	-10.0	-2.5	1.6111281746033048e-07
4.5	1.1951e-05	1.3394e-09	-10.0	-2.5	1.6018000000001275e-07
5.0	1.1951e-05	1.326e-09	-10.0	-2.5	1.5924757936509323e-07
5.5	1.1949e-05	1.3164e-09	-10.0	-2.5	1.563155555555692e-07
6.0	1.195e-05	1.3086e-09	-10.0	-2.5	1.563839285714432e-07
6.5	1.1948e-05	1.2985e-09	-10.0	-2.5	1.5345269841271218e-07
7.0	1.1947e-05	1.2923e-09	-10.0	-2.5	1.5152186507937817e-07
7.5	1.1949e-05	1.2837e-09	-10.0	-2.5	1.5259142857144216e-07
8.0	1.1948e-05	1.2756e-09	-10.0	-2.5	1.5066138888890285e-07
8.5	1.1948e-05	1.2686e-09	-10.0	-2.5	1.4973174603175885e-07
9.0	1.1948e-05	1.2641e-09	-10.0	-2.5	1.4880250000001305e-07
9.5	1.1948e-05	1.2595e-09	-10.0	-2.5	1.4787365079366375e-07
10.0	1.1948e-05	1.2519e-09	-10.0	-2.5	1.4694519841271095e-07
10.5	1.1949e-05	1.2452e-09	-10.0	-2.5	1.4701714285715685e-07
11.0	1.1947e-05	1.2416e-09	-10.0	-2.5	1.4408948412699607e-07
11.5	1.1948e-05	1.2386e-09	-10.0	-2.5	1.4416222222223498e-07
12.0	1.1948e-05	1.231e-09	-10.0	-2.5	1.432353571428699e-07
12.5	1.1948e-05	1.227e-09	-10.0	-2.5	1.423088888889013e-07
13.0	1.1947e-05	1.2227e-09	-10.0	-2.5	1.4038281746033042e-07
13.5	1.1948e-05	1.219e-09	-10.0	-2.5	1.4045714285715535e-07
14.0	1.1948e-05	1.2137e-09	-10.0	-2.5	1.3953186507937797e-07
14.5	1.1947e-05	1.2073e-09	-10.0	-2.5	1.376069841269966e-07
15.0	1.1946e-05	1.2065e-09	-10.0	-2.5	1.3568250000001342e-07
15.5	1.1946e-05	1.2029e-09	-10.0	-2.5	1.3475841269842555e-07
16.0	1.1948e-05	1.1981e-09	-10.0	-2.5	1.3583472222223518e-07
16.5	1.1948e-05	1.1927e-09	-10.0	-2.5	1.3491142857144032e-07
17.0	1.1948e-05	1.1888e-09	-10.0	-2.5	1.3398853174604366e-07
17.5	1.1948e-05	1.1862e-09	-10.0	-2.5	1.330660317460435e-07
18.0	1.195e-05	1.1824e-09	-10.0	-2.5	1.3414392857144254e-07
18.5	1.1949e-05	1.1818e-09	-10.0	-2.5	1.3222222222223489e-07
19.0	1.195e-05	1.1764e-09	-10.0	-2.5	1.3230091269842643e-07
19.5	1.1951e-05	1.1702e-09	-10.0	-2.5	1.3238000000001278e-07
20.0	1.195e-05	1.1696e-09	-10.0	-2.5	1.3045948412699803e-07
20.5	1.1951e-05	1.1678e-09	-10.0	-2.5	1.305393650793774e-07
21.0	1.195e-05	1.1654e-09	-10.0	-2.5	1.2861964285715565e-07
21.5	1.1951e-05	1.1607e-09	-10.0	-2.5	1.287003174603297e-07
22.0	1.195e-05	1.159e-09	-10.0	-2.5	1.2678138888890267e-07
22.5	1.1952e-05	1.1579e-09	-10.0	-2.5	1.2786285714287023e-07
23.0	1.1952e-05	1.1541e-09	-10.0	-2.5	1.26944722222235e-07
23.5	1.1949e-05	1.1533e-09	-10.0	-2.5	1.2302698412699647e-07
24.0	1.1953e-05	1.1496e-09	-10.0	-2.5	1.2610964285715624e-07
24.5	1.1951e-05	1.1483e-09	-10.0	-2.5	1.2319269841270952e-07
25.0	1.1952e-05	1.1427e-09	-10.0	-2.5	1.232761507936625e-07
25.5	1.1951e-05	1.1393e-09	-10.0	-2.5	1.2136000000001098e-07
26.0	1.1952e-05	1.14e-09	-10.0	-2.5	1.2144424603175866e-07
26.5	1.1951e-05	1.1361e-09	-10.0	-2.5	1.1952888888890015e-07
27.0	1.1951e-05	1.1327e-09	-10.0	-2.5	1.1861392857144033e-07
27.5	1.1952e-05	1.1316e-09	-10.0	-2.5	1.1869936507937752e-07
28.0	1.1953e-05	1.1289e-09	-10.0	-2.5	1.1878519841271121e-07
28.5	1.1952e-05	1.1282e-09	-10.0	-2.5	1.1687142857144041e-07
29.0	1.1952e-05	1.1265e-09	-10.0	-2.5	1.1595805555556661e-07
29.5	1.1951e-05	1.1261e-09	-10.0	-2.5	1.140450793650905e-07
30.0	1.1951e-05	1.1237e-09	-10.0	-2.5	1.131325000000114e-07
30.5	1.1953e-05	1.1199e-09	-10.0	-2.5	1.1422031746032981e-07
31.0	1.195e-05	1.1204e-09	-10.0	-2.5	1.1030853174604391e-07
31.5	1.1951e-05	1.117e-09	-10.0	-2.5	1.1039714285715313e-07
32.0	1.1949e-05	1.1152e-09	-10.0	-2.5	1.0748615079366244e-07
32.5	1.195e-05	1.1119e-09	-10.0	-2.5	1.0757555555556805e-07
33.0	1.1951e-05	1.1098e-09	-10.0	-2.5	1.0766535714286847e-07
33.5	1.1953e-05	1.1078e-09	-10.0	-2.5	1.0875555555556758e-07
34.0	1.1955e-05	1.1062e-09	-10.0	-2.5	1.0984615079366151e-07
34.5	1.1954e-05	1.103e-09	-10.0	-2.5	1.0793714285715383e-07
35.0	1.1955e-05	1.1032e-09	-10.0	-2.5	1.0802853174604196e-07
35.5	1.1954e-05	1.103e-09	-10.0	-2.5	1.0612031746032729e-07
36.0	1.1954e-05	1.1002e-09	-10.0	-2.5	1.0521250000000963e-07
36.5	1.1954e-05	1.0979e-09	-10.0	-2.5	1.0430507936509015e-07
37.0	1.1956e-05	1.0975e-09	-10.0	-2.5	1.0539805555556649e-07
37.5	1.1955e-05	1.0961e-09	-10.0	-2.5	1.0349142857143953e-07
38.0	1.1957e-05	1.0959e-09	-10.0	-2.5	1.0458519841270887e-07
38.5	1.1956e-05	1.0932e-09	-10.0	-2.5	1.0267936507937661e-07
39.0	1.1957e-05	1.0941e-09	-10.0	-2.5	1.0277392857143846e-07
39.5	1.196e-05	1.0933e-09	-10.0	-2.5	1.0486888888889951e-07
40.0	1.196e-05	1.0929e-09	-10.0	-2.5	1.0396424603175726e-07
40.5	1.1957e-05	1.091e-09	-10.0	-2.5	1.0006000000001002e-07
41.0	1.1959e-05	1.0867e-09	-10.0	-2.5	1.0115615079366177e-07
41.5	1.1961e-05	1.0867e-09	-10.0	-2.5	1.0225269841270833e-07
42.0	1.196e-05	1.0848e-09	-10.0	-2.5	1.0034964285715329e-07
42.5	1.1962e-05	1.0834e-09	-10.0	-2.5	1.0144698412699455e-07
43.0	1.1958e-05	1.0815e-09	-10.0	-2.5	9.654472222223272e-08
43.5	1.1959e-05	1.0791e-09	-10.0	-2.5	9.664285714286818e-08
44.0	1.1958e-05	1.0774e-09	-10.0	-2.5	9.474138888889916e-08
44.5	1.1958e-05	1.0783e-09	-10.0	-2.5	9.384031746032713e-08
45.0	1.1959e-05	1.0745e-09	-10.0	-2.5	9.39396428571538e-08
45.5	1.1959e-05	1.0754e-09	-10.0	-2.5	9.303936507937479e-08
46.0	1.1958e-05	1.0701e-09	-10.0	-2.5	9.113948412699347e-08
46.5	1.196e-05	1.0722e-09	-10.0	-2.5	9.224000000001015e-08
47.0	1.196e-05	1.0701e-09	-10.0	-2.5	9.134091269842403e-08
47.5	1.1959e-05	1.0666e-09	-10.0	-2.5	8.944222222223222e-08
48.0	1.196e-05	1.0692e-09	-10.0	-2.5	8.954392857143961e-08
48.5	1.1961e-05	1.0663e-09	-10.0	-2.5	8.96460317460418e-08
49.0	1.1959e-05	1.0655e-09	-10.0	-2.5	8.67485317460424e-08
49.5	1.196e-05	1.0639e-09	-10.0	-2.5	8.68514285714393e-08
50.0	1.196e-05	1.0655e-09	-10.0	-2.5	8.59547222222322e-08
50.5	1.196e-05	1.0636e-09	-10.0	-2.5	8.50584126984233e-08
51.0	1.1961e-05	1.0644e-09	-10.0	-2.5	8.516250000000971e-08
51.5	1.1961e-05	1.0632e-09	-10.0	-2.5	8.426698412699381e-08
52.0	1.1963e-05	1.0629e-09	-10.0	-2.5	8.537186507937542e-08
52.5	1.1961e-05	1.0594e-09	-10.0	-2.5	8.247714285715154e-08
53.0	1.196e-05	1.0587e-09	-10.0	-2.5	8.058281746032805e-08
53.5	1.1963e-05	1.0577e-09	-10.0	-2.5	8.268888888889967e-08
54.0	1.1963e-05	1.0576e-09	-10.0	-2.5	8.179535714286799e-08
54.5	1.1964e-05	1.057e-09	-10.0	-2.5	8.190222222223161e-08
55.0	1.1962e-05	1.0528e-09	-10.0	-2.5	7.900948412699364e-08
55.5	1.1961e-05	1.0524e-09	-10.0	-2.5	7.711714285715266e-08
56.0	1.1961e-05	1.0517e-09	-10.0	-2.5	7.6225198412707e-08
56.5	1.1961e-05	1.0492e-09	-10.0	-2.5	7.533365079365953e-08
57.0	1.1961e-05	1.0482e-09	-10.0	-2.5	7.444250000000856e-08
57.5	1.1961e-05	1.0465e-09	-10.0	-2.5	7.35517460317541e-08
58.0	1.1961e-05	1.0473e-09	-10.0	-2.5	7.266138888889784e-08
58.5	1.1961e-05	1.0478e-09	-10.0	-2.5	7.177142857143808e-08
59.0	1.1962e-05	1.0486e-09	-10.0	-2.5	7.188186507937363e-08
59.5	1.1962e-05	1.0476e-09	-10.0	-2.5	7.099269841270687e-08
60.0	1.1963e-05	1.0463e-09	-10.0	-2.5	7.110392857143882e-08
60.5	1.1963e-05	1.0432e-09	-10.0	-2.5	7.021555555556507e-08
61.0	1.1963e-05	1.0429e-09	-10.0	-2.5	6.932757936508952e-08
61.5	1.196e-05	1.042e-09	-10.0	-2.5	6.544000000000898e-08
62.0	1.1962e-05	1.0414e-09	-10.0	-2.5	6.655281746032574e-08
62.5	1.1963e-05	1.0411e-09	-10.0	-2.5	6.66660317460419e-08
63.0	1.1963e-05	1.0408e-09	-10.0	-2.5	6.577964285715237e-08
63.5	1.1963e-05	1.0376e-09	-10.0	-2.5	6.489365079366103e-08
64.0	1.1963e-05	1.0383e-09	-10.0	-2.5	6.40080555555645e-08
64.5	1.1964e-05	1.0371e-09	-10.0	-2.5	6.412285714286498e-08
65.0	1.1966e-05	1.0343e-09	-10.0	-2.5	6.523805555556415e-08
65.5	1.1965e-05	1.0352e-09	-10.0	-2.5	6.335365079366003e-08
66.0	1.1967e-05	1.0318e-09	-10.0	-2.5	6.44696428571522e-08
66.5	1.1968e-05	1.0309e-09	-10.0	-2.5	6.458603174604039e-08
67.0	1.1967e-05	1.0313e-09	-10.0	-2.5	6.270281746032747e-08
67.5	1.1965e-05	1.0312e-09	-10.0	-2.5	5.982000000000886e-08
68.0	1.1966e-05	1.0316e-09	-10.0	-2.5	5.993757936508825e-08
68.5	1.1966e-05	1.0296e-09	-10.0	-2.5	5.905555555556364e-08
69.0	1.1967e-05	1.0292e-09	-10.0	-2.5	5.917392857143773e-08
69.5	1.1967e-05	1.0285e-09	-10.0	-2.5	5.8292698412707825e-08
70.0	1.1968e-05	1.0258e-09	-10.0	-2.5	5.841186507937323e-08
70.5	1.1968e-05	1.0266e-09	-10.0	-2.5	5.753142857143633e-08
71.0	1.1969e-05	1.0236e-09	-10.0	-2.5	5.765138888889813e-08
71.5	1.1968e-05	1.0225e-09	-10.0	-2.5	5.577174603175374e-08
72.0	1.1969e-05	1.0244e-09	-10.0	-2.5	5.5892500000008545e-08
72.5	1.1969e-05	1.0257e-09	-10.0	-2.5	5.5013650793659356e-08
73.0	1.1969e-05	1.0234e-09	-10.0	-2.5	5.413519841270667e-08
